Think Philly would accept Josh Richardson and Tyler Bey for Seth Curry?  That would certainly help.
"Charlotte should sign Lonzo and somehow acquire Saddiq Bey, Tyler Bey, and Bol Bol.   Then their lineup could be:   Ball/Ball  Bey/Bey  Bol Bol"
  **Heat @ Pistons**  [](/MIA) **120 -  107** [](/DET)  **Box Scores: [NBA](http://www.nba.com/games/20210516/MIADET#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/miami-heat-detroit-pistons-2021051608)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |Miami Heat|32|37|26|25|120| |Detroit Pistons|13|34|24|36|107|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |Miami Heat|120|47-84|56.0%|13-34|38.2%|13-20|65.0%|6|39|32|19|11|10|5| |Detroit Pistons|107|40-86|46.5%|11-35|31.4%|16-22|72.7%|7|33|26|21|4|16|4|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |Miami Heat|**23** Precious Achiuwa|**10** Precious Achiuwa|**11** Tyler Herro| |Detroit Pistons|**22** Saddiq Bey|**9** Tyler Cook|**7** Saben Lee|
"You're missing the point. Ain't nobody criticizing Tyler Bey more than Paul George. Tyler Bey scored 18 points this season. You never heard of him. Paul George would crush him in 1 on 1.   But guess what? We talk about the best players more. The better you play without winning a championship, the more you will be criticized. That is the way it has always been. And, if you want to make it worse all you have to do is ball out in the regular season and play like a chump in the playoffs (big stage.)  TL;DR: The best players get criticized the most. Players who ball in reg season and stink in playoffs get criticized even worse. (See Ben Simmons)"
Josh Richardson and Tyler Bey.
They still have two unknown quantities in Tyler Bey and Tyrell Terry thanks to that trade iirc. Trade should still sting for the Mavs but one of those two (or both) panning out will ease the pain.
Tyler Bey
Oh shit. Yeah. That's makes more sense. In my initial post I was talking about Sardis bey. But then the second one triggered something. Mavs fans were sad that we let Tyler bey go. My bad
"I wasn't super high on Tyler bey. Dude looked absolutely raw and lost on offense. Even in the  g league. We just don't have the minutes and reps to be giving to him to develop. We are trying to contend now. And honestly. Between josh green and Tyrell terry, terry might get more minutes because he the better shooter. Dude was an absolute  sharpshooter in college."
isn’t tyler bey on the mavs? why is he playing for the bulls in summer league?
*Give me Tyler Bey*
"Kinda interesting to think how those young Lakers teams would have developed together. 5 of those guys have all gotten large contracts.   D'Lo, Ball, BI, Randle, Kuzma, Larry Nance, Jordan Clarkson, Josh Hart is not the worst team build around and they could have landed PG or Kawhi in FA?   They probably pick somewhere around the late teens in the 2018, 2019, and 2020 drafts if they stick together? Could have added someone like Kevin Huerter, Thybulle, or Saddiq Bey. If they pick in that 12-14 range they could have gotten Michael Porter Jr, Tyler Herro, or Tyrese Hailburton in one of those drafts.   Surely not the championship contender they are with LeBron and you can't pay everyone but they could have fun to watch and root for I think."
"Eh.  I dont think Dragic at 20 million is much of an asset, even if it is only one year.   Best case is probably a 2nd, or recent 2nd like Herb Jones or Tyler Bey."
Send Tyler Bey home!
I remember watching this guy for the draft last year and just being so mad about like all of his film because he looked awful and McKinley Wright looked like the real draft prospect while getting no recognition for it. Like every good Tyler Bey play was set up by a better McKinley Wright play. Not surprised to see him in this position so soon.
Tyler Bey was the 36th pick in the 2020 draft and didn't get much playing time.  Daishen Nix played on the Ignite last year.
"The Mavs Trading away Seth Curry to the Sixers for Josh Richardson and the No. 36 pick which turned out to be Tyler Bey, Seth became his brother (Steph) in the 2021 Playoffs against Atlanta (Even tho they loss the series, Seth is still Valuable for the team) will Richardson only played for 1 season for the Mavs, he just disappeared against the Clippers in 2021 Playoffs  &amp;#x200B;  Overall The Sixers won the trade and the Mavs got robbed"
Chuma Okeke should be back soon and than JI should be back by Dec.  I would have signed Nate Hinton or Tyler Bey but I guess he is a 27 who can fill in if needed.
"After the draft I was convinced that Tyrell Terry &gt; Tyler Bey &gt; Josh Green. I think it was KOC who had given such glowing reports about how Terry was a mid first rounder who fell because of some reasons. Of all the sharpshooters signed in that draft, he is the only one who hardly played.   I kept seeing his DNP last season even when we barely had any players but I guess that personal reason must be big enough to prevent him from playing even when we were shorthanded. Part of the blame kept going on Rick Carlisle as he doesn't trust 'rookies' especially those that were drafted late.   Now I hope that at least Green turns out OK as otherwise that would be two consecutive zeroes after hitting the jackpot in 2018."
"Looking at [basketball reference](https://www.basketball-reference.com/players/b/beyty01.html) Tyler Bey also signed a contract with the Rockets on August 24, 2022"
When you try to be funny at least get the players right. We got Tyler Bey from that Jrich trade. Has nothing to do with Tyrell Terry
He was not a part of the trade. Tyler Bey was and he got waived by the Rockets after he was not retained by the Mavs at the end of the year
[Looks like Tyler Bey](https://twitter.com/Jonathan_Feigen/status/1448477026210418694) got waived per Jonathan Feigen
&gt;This means either Tyler Bey or Anthony Lamb will be cut from one of the two-way contract spots.   We all know who will be the sacrificial Lamb
"Sorry for some reason I thought nets were 12 ft tall. That makes sense they are 13 ft, otherwise we would see hands above the backboard frequently.d   A 36 inch standing vert especially with a 9’0 standing reach is special. Scottie Barnes max vert is 40 inches which isn’t as impressive as his standing vertical but it is still good and above average (especially for his size).   In the last 5 draft combines, there have been 6 players total with a standing vertical of more than 36 inches. Those players were Donovan Mitchell (6’1.25 H, 8’1 SR), Keon Johnson (6’3.5 height, 8’1 SR), Jericho Simms (6’9 H, 8’10 SR), Jalen Harris (6’2.75 H - 8’1.5 SR), Udoka Azubuike (6’10 H, 9’1 SR), Tyler Bey(6’6 H, 8’9.5 SR)  A 36 inch standing vertical would frequently put you at the top of your class for standing vertical and could even be the best (as it has been in multiple years). Considering that the only player in the last 5 years to measure a bigger standing reaching and standing vertical than Barnes was Udoka Azubuike who was just a rim running 5.   Even compare Barnes to rim runners like Jarrett Allen, Jaxon Hayes, Etc. He has better standing verticals than all of them, with close to the same standing reach and way more mobility."
"Here’s a count of people who have been called potential  all stars in this thread: Duarte, Cole Anthony, Tyler Herro, Malik Bridges, Halliburton, Eric Paschall, Saddiq Bey, Cade Cunningham, Mattisse Thybulle, Desmond Bane."
"It's not all about the quality of players.  Salary and years are more important to teams.  Prioritizing salary and years allows you to take big swings in free agency where you can, theoretically (but not in Dallas), get something big for nothing in return.    Even if the Mavs kept Seth instead of trading him for Richardson, they would have just traded Seth before this season because they needed the cap space to pursue Lowry (and because they didn't want to attach a 1st to Powell to get off his salary, plus they value Maxi too much to dump him for a free agency gamble).  The Mavs expected Richardson to play well enough to opt out of his contract for this season, thus clearing enough space to sign Lowry.  Instead, Richardson opted in and they got Moses Brown back.  So the Mavs chose Tyler Bey, Moses Brown, and a non-zero chance at Kyle Lowry over Seth Curry and no chance at Kyle Lowry.  That's a neutral trade and certainly not one of the worst trades in the last decade."
