Trey Murphy III is going to eat this year off Zion and BI drives
"Bones Hyland is the most impressive player in the very early season outside of the top 10, besides Duarte. He is starting to play valuable minutes and a valuable role for a playoff team. Can't get much better than that. Same could be said about Dalano Banton and Ayo Dosunmu, even though both of them thrive because of mostly pure hustle and less because of very valuable, role-oriented skills. At least compared to Bones.  I dig what I see from Jeremiah Robinson-Earl, from OKC. He has the tools to be a good role player in the NBA for a long time. He rebounds well for his size, makes the simple right plays.   Same could be said about Herbert Jones from the Pelicans, but he mostly stands out with his defensive effort because the rest of the Pelicans are really, really bad as a team. Including Trey Murphy III, but he'll figure out his best role once Zion is back. Someday.   I get the mentioning of Sengün, but I don't like the Iso-heavy playstyle of the Rockets at all. He's good at anticipating where the ball goes on defense and he has a few flashes as a scorer and playmaker on offense. Advanced stats love him, eye test isn't that convincing for me yet (looks like a Delon Wright case from the past where stats are more uplifting than the eye test). I'd love to see a whole lot more of Garuba, honestly. It's a shame he doesn't get to play and show his defensive tools - I hope Stone sends Wood or Theis out before the trade deadline.   I'm sensing that Tre Mann is starting to slowly find his shot and confidence on offense. He looks really interesting as a Lou Will type of player. I trust him more than Cam Thomas and he could be visually even wetter than Bones on some nights if he finds his groove and role in Oklahoma. His skill to create separation from defender is pretty remarkable. Buuut.. He has a long ways to go to even earn a stable role in the Thunder's rotation.   I don't truly understand Snyder benching Jared Butler after Butler's poor start (let him play through it, because, God, the Jazz need more athleticism, smart playmaking and youth on the perimeter).   There hasn't really been anything more. Mamukelashvili was... um, tolerable as the worst option in the Bucks frontcourt when Lopez and Portis were both out. I guess you can say the same about Garza and probably Bassey when he gets more minutes as Embiid is in the protocols. Moses Moody will give sporadic minutes every now and then, but I think he'll mostly be in the G-League. Most of the guys outside of the top 10 are waiting for their chances in January-April, when vets are having more rest days and tank race is underway, especially after February."
Yo shoutout to Trey Murphy III that guy is a legit shooter
Trey Murphy III for pelicans
Trey Murphy III?
"I’m down for the Pelicans spot  This off-season was definitely a doozy. While we made some good moves, you have to take into account that David Griffin was fixing some of the mistakes he made last season. We traded away Steven Adams and Eric “The Actual Devil” Bledsoe, thus freeing up a ton of cap space. While we couldn’t land a big free agent like Lowry or CP3, the Pelicans took their shot at it, and I can’t fault them for trying.  While the Pelicans caught, and are still catching, a lot of flak for letting Lonzo go, it was the right move. Paying Lonzo $21 million a year when we couldn’t even make the play-in last year with a mostly healthy team was not the move.   We added a few good pieces in Jonas Valanciunas and Devonte Graham, who will definitely make the Pelicans a better team.  The Pelicans this year are focusing on internal growth. Specifically Nickeil Alexander-Walker stepping up to be that 3rd scoring option, and Brandon Ingram making moves on defense. We’re also counting on rookie Trey Murphy III to lend us some spacing.  The biggest move of all was hiring new head coach Willie Green. The players love him and he seems like a huge upgrade over SVG.  All in all, the Pelicans are not worse than we were last year. If we’re better or if we made lateral moves remains to be seen. If Zion can come back healthy, and the guys we drafted take a step up, we will be fighting for a playoff spot."
At least the Pelicans have Trey Murphy III?
"Huh? Tr**e**y Murphy III is a rookie. The number 17 pick over the summer.    I also read Troy at first, but pretty sure it is Trey."
"If Trey Murphy III wins rookie of the year, things have gone wild. The Pelicans are good without Zion. Cade is terrible."
  **Pelicans @ Jazz**  [](/NOP) **96 -  127** [](/UTA)  **Box Scores: [NBA](http://www.nba.com/games/20211011/NOPUTA#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/new-orleans-pelicans-utah-jazz-2021101126)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |New Orleans Pelicans|22|24|19|31|96| |Utah Jazz|28|35|32|32|127|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |New Orleans Pelicans|96|38-87|43.7%|10-29|34.5%|10-15|66.7%|7|35|21|15|8|21|2| |Utah Jazz|127|48-94|51.1%|16-42|38.1%|15-17|88.2%|9|48|30|18|13|17|7|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |New Orleans Pelicans|**14** Devonte' Graham|**6** Jonas Valanciunas|**4** Trey Murphy III| |Utah Jazz|**19** Rudy Gobert|**19** Rudy Gobert|**5** Donovan Mitchell|
Trey Murphy III at 10 makes me a very excited pels fans.
"Of course, you have Stephen Curry, Jayson Tatum and Damian Lillard. Above them is future HOFer Trey Murphy III."
  **Pelicans @ Bulls**  [](/NOP) **85 -  121** [](/CHI)  **Box Scores: [NBA](http://www.nba.com/games/20211008/NOPCHI#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/new-orleans-pelicans-chicago-bulls-2021100804)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |New Orleans Pelicans|17|21|19|28|85| |Chicago Bulls|30|33|33|25|121|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |New Orleans Pelicans|85|31-93|33.3%|8-39|20.5%|15-19|78.9%|8|45|18|16|7|18|4| |Chicago Bulls|121|47-96|49.0%|12-35|34.3%|15-19|78.9%|9|58|32|20|14|12|7|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |New Orleans Pelicans|**17** Trey Murphy III|**10** Trey Murphy III|**3** Jonas Valanciunas| |Chicago Bulls|**21** Zach LaVine|**10** Nikola Vucevic|**5** Alex Caruso|
Trey Murphy III  Meaning the number 3 is in his name twice
Trey means you're the third of your name. How can he be Trey Murphy III
  **Magic @ Pelicans**  [](/ORL) **86 -  104** [](/NOP)  **Box Scores: [NBA](http://www.nba.com/games/20211006/ORLNOP#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/orlando-magic-new-orleans-pelicans-2021100603)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |Orlando Magic|26|25|17|18|86| |New Orleans Pelicans|18|34|20|32|104|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |Orlando Magic|86|31-86|36.0%|11-34|32.4%|13-14|92.9%|10|47|19|23|4|16|8| |New Orleans Pelicans|104|37-96|38.5%|18-35|51.4%|12-17|70.6%|14|53|28|20|8|10|4|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |Orlando Magic|**13** Wendell Carter Jr.|**11** Wendell Carter Jr.|**2** Moritz Wagner| |New Orleans Pelicans|**20** Trey Murphy III|**9** Jonas Valanciunas|**7** Devonte' Graham|
"Trey Murphy III.   Also out of the greatest basketball program in college basketball, UVA. With one of the best talent spotters/developmental coaches in Coach Tony Bennett Go Hoos!"
Trey Murphy III aka TM3 aka Swords Dance aka Steal of the Draft. Remember the name now fellas.
"Our team is a lot better now though. We added more scoring threats with Graham and rookie Trey Murphy III. NAW, Hayes, and Naji Marshall will take a big leap this year. Plus we have a coach players want to play hard for….not to mention Mike D’antoni as a offensive consultant. This whole squad will surprise the casuals."
No 1 Detroit Pistons - Cade Cunningham  No 2 Houston Rockets - Jalen Green  No 3 Cleveland Cavaliers - Evan Mobley  No 4 Toronto Raptors - Jalen Suggs  No 5 Orlando Magic - Jonathan Kuminga  No 6 Oklahoma City Thunder - Scottie Barnes  No 7 Golden States Warriors -  Moses Moody  No 8 Orlando Magic - James Bouknight  No 9 Sacramento Kings - Franz Wagner  No 10 New Orlean Pelicans - Cory Kispert  No 11 Charlotte Hornets - Usman Garuba  No 12 San Antonio Spurs - Alperen Sengun  No 13 Indiana Pacers - Josh Giddey  No 14 Golden States Warriors - Jalen Johnson  No 15 Washington Wizards - Ziaire Williams  No 16 Oklahoma Thunder - Kai Jones  No 17 Memphis Grizzlies - Keon Johnson  No 18 Oklahoma Thunder - Jaden Springer  No 19 New York Knicks - Davion Mitchell  No 20 Atlanta Hawks - Jared Butler  No 21 New York Knicks - Chris Duarte  No 22 Los Angeles Lakers - Tre Mann  No 23 Houston Rockets - Trey Murphy III  No 24 Houston Rockets - JT Thor  No 25 Los Angeles Clippers - Sharife Cooper  No 26 Denver Nuggets - Ayo Dosumno  No 27 Brooklyn Nets - Isaiah Jackson  No 28 Philadelphia 76ers - Cam Thomas  No 29 Phoenix Suns - Josh Christopher  No 30 Utah Jazz - Quentin Grimes  Thoughts?
"Why not get the win-now pick at 14th though? They worked out Chris Duarte, Corey Kispert, and Trey Murphy III yesterday who all could easily go 14th (hard to see Kispert last til 14th though.) They could use the 7th on a higher ceiling player like Bouknight, Moody, or Giddey."
Results  1. **DET** \- Cade Cunningham (Mann) 2. **HOU** \- Evan Mobley (Tjarks) 3. **CLE** \- Jalen Green (KOC) 4. **TOR** \- Jalen Suggs (Mann) 5. **ORL** \- Jonathan Kuminga (Tjarks) 6. **OKC** \- Scottie Barnes (KOC) 7. **GS** (via MIN) - Davion Mitchell (Mann) 8. **ORL** (via CHI) - James Bouknight (Tjarks) 9. **SAC** \- Franz Wagner (KOC) 10. **NO** \- Moses Moody (Mann) 11. **CHA** \- Kai Jones (Tjarks) 12. **SA** \- Josh Giddey (KOC) 13. **IND** \- Keon Johnson (Mann) 14. **GS** \- Ziaire Williams (Tjarks) 15. **WAS** \- Alperen Şengün (KOC) 16. **OKC** (via BOS) - Isaiah Jackson (Mann) 17. **MEM** \- Jaden Springer (Tjarks) 18. **OKC** (via MIA) - Sharife Cooper (KOC) 19. **NY** \- Chris Duarte (Mann) 20. **ATL** \- Josh Christopher (Tjarks) 21. **NY** (via DAL) - Corey Kispert (KOC) 22. **LAL** \- Jared Butler (Mann) 23. **HOU** (via POR) - Jalen Johnson (Tjarks) 24. **HOU** (via MIL) - Tre Mann (KOC) 25. **LAC** \- Usman Garuba (Mann) 26. **DEN** \- Isaiah Todd (Tjarks) 27. **BKN** \- Trey Murphy III (KOC) 28. **PHI** \- Brandon Boston Jr. (Mann) 29. **PHX** \- Joshua Primo (Tjarks) 30. **UTAH** \- JT Thor (KOC)  Best player still available:  Mann - Roko Prkačin  Tjarks - Nah’Shon Hyland  KOC - Cameron Thomas
"Trey Murphy III. Big, sweet-shooting wing with defensive upside. Played 3 years in college (older prospect).  Will likely take Jalen Johnson if he falls to 17.  Will trade up to get Kispert/ Moody if available at 10 or 14 if either the Pels are desperate to dump the Bledsoe contract or the Warriors are looking to reduce the luxury tax impact."
"Every draft pick is hit or miss, last year Saddiq Bey, Desmond Bane, Tyrese Haliburton, and Payton Prichard these are the types I am talking about. Chris Duarte, Trey Murphy III, Corey Kispert, James Bouknight, and Davion Mitchell. These are more seasoned then your typical one and dones."
