Jimmy Butler  Bam Adebayo  Duncan Robinson  Max Strus  Omer Yurtseven  Gabe Vincent
"&gt; And now we get to the strawmans.  You literally listed Noah Vonleh as someone who was dominant in Summerleague... then went on to say Alperen was inefficient.  &gt; Obviously summer league is basketball, but not all basketball is indicative of how play will translate to the professional level...  And all 5 on 5 basketball has some correlation with how they play in the league.    &gt;With vonleh, to the point I was referencing, he was above Sengun in points and efficiency.  Nope, he was terrible. Whether you take his rookie year or even all  years averaged he was worse than Sengun AND he didn't have the blocks, steals, assists, rebounds that Sengun had. You need to make sure your facts are  straight otherwise you seem like a complete idiot when you try to correct other people when you yourself are completely wrong.  &gt;the other 15 or so names I mentioned that you conveniently ignored.  I mentioned a couple of them, for example, Omer Yurtseven was older. Like I said elsewhere, you did the shotgun approach of not having a single good example listeing a bunch of names which even you yourself know is completely bullshit. If you think Noah Vonleh was a dominant Summerleague player, you need to stop wasting peoples time online with this nonsense.  &gt;Again, summer league means nothing.  Yes it means absolutely nothing, has zero correlation with how people play. Centers play like guards and guards play like Centers. Someone who shoots 5 3's a game in Summerleague is just as likely to be a back to the basket center in the NBA. You can't say I strawman when it comes from your mouth again in the same reply once again.   If you think Noah Vonleh was a dominant Summerleague player, I don't have the time or craysons anymore to educate you."
"&gt; a player will perform in the nba in any way shape or form  Ya it has zero correlation whatsoever. We see people like Hasheem Thiabeet shoot from the 3 point line at an amazing percentage and volume and we see people like Trae Young average 10 rebounds a game. It is 100% flip of the coin stats.  &gt;And idk why you’re acting like he dominated when he put up an inefficient 14/11 over a four game sample.  He had the most rebounds, blocks, steals, assists, and least turnovers. Sure he missed a couple layups so he shot a couple less points then some and less fg then some, but cannot deny he didn't dominate without being heavily biased. All those guys like Alan Williams and Omer Yurtseven you mentioned that were also bigmen were much older than Alperen though.  You can't mention a single example of someone who filled the stat sheet like Alperen as a teenager and wasn't good because not a single example exists. He has an outlier summerleague performance. You did the shotgun approach of listing a bunch of names who don't qualify because you don't have 1 solid example. For example Ante Zizic couldn't score, couldn't steal, couldn't pass until 4 years later. Bam was very good overall in summerleague and he became a very good overall player in the league as well. What you have stated is actually the opposite of true and hopefully this clears up your confusion."
"Those aren’t correlations, they’re coincidental. Playing against g leaguers fighting for nba contracts and rookies doesn’t show how a player will perform in the nba in any way shape or form.   Ayton is a great defender tf ?  Which areas he excelled in doesn’t make it any less of a small sample so that’s a weird point to mention.   And idk why you’re acting like he dominated when he put up an inefficient 14/11 over a four game sample. Cam Thomas outplayed that. Jalen green. Tre Jones. Omer yurtseven. And while we’re at it let’s look at some past players to further prove my point. 2015-2016, Alan Williams dominated and went on to be a fringe rotational guy and then out of the league. Noah vonleh played extremely well too. Meanwhile all star KAT struggled a lot. The next year? Trey Lyles and Kris Dunn were the summer league stars. What incredible careers they’ve had. 2017-2018? Bryn Forbes dominated. Lonzo ball was electric. Guys like Quinn cook, troy Williams, Wayne selden, Dennis smith jr and Deandre Bembry were all excellent. Meanwhile guys like bam and fox struggled. 2018-2019? Malik monk and josh hart stole the show. Ante zizic dominated too. Cheick diallo was a real standout too. But guys like Trae young were awful. 2019-2020?NAW, anfernee Simons, Tony Bradley and drew Eubanks killed it. Meanwhile RJ Barrett sucked.  Summer league means nothing"
"Pj tucker is definitely starting for the heat. Spo is going for the toughest most defensive minded lineup for the starters he’s the guy that’ll play his role.   Omer yurtseven is the future and will be developed to eventually start with bam but the way spo usually develops these prospects is by starting off in the g league and slowly giving them back up nba minutes. I would love to see yurtseven play more but I really doubt his first year he’s going to get much action.    Markieffs defense is fine but his lateral quickness isn’t the best which gives a weakness for the starting lineup and offensively his skill set suits a bench role for offense rather than the starters where the ball will be in Jimmy’s, kyles, and bams hands the most"
"* My bold prediction is that Bogdan Bogdanovic will not hold onto the starting spot in Atlanta. Seems like a lot of younger guys are ready to break out for them. * Unsure of the Nets lineup--other than the Big 3 (and KD can play multiple positions), I think we'll see a variety of lineups. They sure have a lot of talent. * I know Charlotte played Rozier at the 2 and Ball at the 1 last year, but I think that will change depending on the matchup given LaMelo's size. * Porzingis at the 4 and Kleber at the 5 is not happening IMO. I see Porzingis at the 5 with Kleber or Finney-Smith at the 4, unless Moses Brown earns the starting center spot. Not sure why teams keep bouncing on that experiment, he had a great season last year. * I think Olynyk will start the season at the 4 for the Pistons, moving Grant to the 3. * I don't see any way Marc Gasol starts for the Lakers. Luckily LeBron can be slotted in almost anywhere, AD has some flexibility, and there are some other role players that can get a shot.  * Sorry, but P.J. Tucker should not be starting for the Heat. Even Markieff Morris would be better, ideal situation is Omer Yurtseven comes in off his hot Summer League and moves Bam out to the 4 for a twin towers effect IMO."
"When the fan base is hyping undrafted free agents (Yurtseven), you know the depth is shallow.  Sorry Omer."
"I've met a few before they were NBA players or after they had retired. Never met a current NBA player.  I met Kyrie when he came to my highschool while he was at Duke. Honestly don't know why he was there. He wasn't insane yet at this point. He was chill.  I met Dennis Smith JR, TJ Warren, Lorenzo brown (in and out the league), and Omer Yurtseven, Caleb and Cody Martin all at NC State when I was a student there. All were chill. Dennis Smith thought he was god on campus though lmao.   I met Sidney Lowe at a basketball camp NC State held when he was the coach when I was a kid. All I remember is he had monster size hands.   I think that's everyone."
  **Hornets @ Heat**  [](/CHA) **103 -  104** [](/MIA)  **Box Scores: [NBA](http://www.nba.com/games/20211011/CHAMIA#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/charlotte-hornets-miami-heat-2021101114)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |Charlotte Hornets|24|29|25|25|103| |Miami Heat|27|20|30|27|104|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |Charlotte Hornets|103|40-86|46.5%|12-37|32.4%|11-13|84.6%|8|48|25|21|6|17|7| |Miami Heat|104|39-93|41.9%|14-42|33.3%|12-18|66.7%|12|46|23|18|5|12|4|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |Charlotte Hornets|**22** Miles Bridges|**10** Miles Bridges|**9** LaMelo Ball| |Miami Heat|**18** Bam Adebayo|**8** Omer Yurtseven|**5** Kyle Lowry|
"yep. home to jimmy v who was not just a basketball icon but one of the most influential and inspiring figures in all of american sports. not to mention NC state is almost always competitive and attracts decent talent. we’ve had the likes of TJ Warren, Omer Yurtseven, DSJ, and others who have made the NBA or at least made alot of noise in college. you’d expect a little more respect or fandom but it just comes with the territory of being neighbors with the 2 best college basketball programs of all time i guess"
Omer Yurtseven fans got real quiet after Mamukelashvili dropped 20 on the Nets
Dude. I'm not arguing that COVID doesn't care how famous you are.  But what I'm pointing out works both ways.  Let's say Kyrie was making pro-vax PSAs and encouraging folks to get the shot to protect themselves and their communities.  And let's say Omer Yurtseven was doing the same thing.  Both are doing good things.  Which one has more impact?
"So many takeaways. Not just what Lowry does for us, but it feels like all our young core players got better.  * Bam, Tyler, and Duncan all got bigger and faster * PJ feels like Ariza and Iggy combined into one person * Probably too early to judge but it seemed like Max Strus and Gabe Vincent (and maybe even KZ) took steps, though Gabe still needs to rein in those turnovers  And these two impressed:  * Caleb Martin. I didn't even know we had this dude, apparently we two-way'd him in mid-September. I don't know if his game tonight is representative of what he can usually do, but he showed out * Omer Yurtseven. He played his first NBA minutes tonight. In just 14 minutes he got a team-leading 8 rebounds. He's still green and made all the typical rookie mistakes like too many fouls and low shot clock awareness, but he absolutely did his job and filled his role"
"If it was preceded by Bam, Tyler, and Duncan continuously not putting in the effort needed to win, so much so that he took Caleb Martin, KZ Okpala, Omer Yurtseven, and Marcus Garrett in practice and bodied the shit out of the aforementioned starting players, and then those players didn't have an ""aw shit he's right we gotta be better"" moment but just doubled down and got defensive and called him a locker room cancer?  I would then say ""Damn Jimmy deserves better"".  Thankfully I don't have to worry about any of that in Miami as they all feel the same way as him and care more about winning than their fragile egos."
Then you havent seen Omer Yurtseven LOL.
"Tbh I think it's more that we could use a good big man in general as opposed to UD being the difference. We're pretty undersized and guys like AD, Embiid and most 7 footers give Bam a lot of problems. I've been pushing a Myles Turner for Duncan Robinson trade for a while lol.   We have Omer Yurtseven as a prospect who should be getting more mins in that situation (and he did well in the mins he did play) although he's still pretty raw. But once we ease him in I can definitely see him getting more minutes at the expense of UD. It was largely just foul trouble that meant we had to spread the big man load a bit"
Gabe Vincent  Omer Yurtseven  Caleb Martin  KZ Okpala
