The same way Saben Lee dropped to the 38th pick in the draft
"**Killian Hayes** - started off slow, has looked like he has a much better pulse on our offensive movement since returning two games ago but still isn't scoring much. Really wish his success hadn't been tied to everyone's opinion of Kevin O'Connor because he's an extremely talented rookie who's been fine for what he was advertised, but because he isn't running away with RotY he's already been labeled a bust by some  **Isaiah Stewart** - was a fan favorite from day 1 for his hustle, but now his skill is starting to shine through and it's really exciting. He has shot 42% from deep (on limited attempts) and is above 50% from 10-16ft. His defensive hustle is insane (I believe he's leading rookies in Blocks per game) and he's a great offensive rebounder. He'll be fun to watch for a long time.  **Saddiq Bey** - came in as an NBA ready shooter (as advertised) but has shown a bit more ability than even that. He's put together a few moves with his back to the basket, can create his own 3 in a way that looks suspiciously identical to Wayne Ellington, and has put the ball on the floor as well. If he becomes a playmaker as well as a shooter, he should be a future all star.  **Saben Lee** - Isn't a revelation or anything but he looks like he'll last in the league which is pretty cool for a 2nd rounder. You can tell he's not comfortable with his shot but his ability to get to the rim and get fouled (or make the extra pass) has allowed him to stay on the floor. He also came very close to posterizing Vucevic so that was fun.  .  All in all, a pretty solid but VERY productive draft for Weaver's first year as GM. The future is exciting in Detroit."
Bey and Beef Stew both look like they're gonna be solid NBA players for a long time. Bey especially has been so nice  Killian just came back from injury and played his 9th game. Looks timid out there still and struggles to score but the defense looks good and his passing looks like it could be elite (see: lob to Diallo tonight)  Second rounder Saben Lee is going to make a great bench PG  Overall I think Weaver hit a solid triple in his first ever draft as our GM and has potential to be an all timer if Killian pans out as advertised
Saben Lee
"He’s just been out with a hip injury since seven games into the season. He had a rough start but showed promise in passing and defense. Bey, Stewart, Saben Lee, and even other young pickups like Diallo and DSJ had been showing out so Hayes just isn’t getting much attention"
&gt;Saben Lee  you had me untill Saben. He's not a top 10 in the league yet. He'll be #1 one day tho.
Saddiq Bey	  Mason Plumlee	  Isaiah Stewart	  Jerami Grant	  Josh Jackson  Sekou Doumbouya  Wayne Ellington	  Saben Lee    Frank Jackson     Dennis Smith Jr.
"Pistons with Saddiq Bey, Isaiah Stewart, Saben Lee, Killian Hayes, and one of Jalen Green/Jalen Suggs/Evan Mobley is a budding dynasty"
  **Raptors @ Pistons**  [](/TOR) **104 -  118** [](/DET)  **Box Scores: [NBA](http://www.nba.com/games/20210329/TORDET#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/toronto-raptors-detroit-pistons-2021032908)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |Toronto Raptors|27|23|25|29|104| |Detroit Pistons|35|31|26|26|118|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |Toronto Raptors|104|35-86|40.7%|11-36|30.6%|23-28|82.1%|10|38|21|25|6|13|6| |Detroit Pistons|118|38-75|50.7%|15-30|50.0%|27-34|79.4%|9|44|26|24|6|19|6|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |Toronto Raptors|**22** Fred VanVleet|**6** Pascal Siakam|**5** Gary Trent Jr.| |Detroit Pistons|**19** Saddiq Bey|**10** Hamidou Diallo|**5** Saben Lee|
"The crazy thing is if Killian comes back and even remotely plays close to his potential, Pistons might have legitimately went 4/4 in last years draft.  Saben Lee has came out of nowhere for me. So excited about this team"
I’ll try for our team:  • Jerami Grant • Mason Plumlee • Saddiq Bey • Isaiah Stewart • Wayne Ellington • Dennis Smith Jr. • Saben Lee • Josh Jackson • Frank Jackson • Rodney Mcgruder
"I see everyone is sleeping on the Pistons.  Troy Weaver is assembling a gritty, hard-nosed team of Detroit-style youngsters who will all break out at the same time.  Isaiah Stewart, Saddiq Bey, Killian Hayes, Saben Lee, Hamadou Diallo, Sekou Doumboya, Jerami Grant, and a likely top 3 pick who could be Cade Cunningham, Jalen Suggs, Jalen Green, or Mobley."
  **Pistons @ Wizards**  [](/DET) **92 -  106** [](/WAS)  **Box Scores: [NBA](http://www.nba.com/games/20210327/DETWAS#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/detroit-pistons-washington-wizards-2021032727)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |Detroit Pistons|22|19|34|17|92| |Washington Wizards|33|35|11|27|106|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |Detroit Pistons|92|33-85|38.8%|10-29|34.5%|16-19|84.2%|7|43|19|18|9|19|5| |Washington Wizards|106|44-91|48.4%|9-21|42.9%|9-9|100%|7|48|24|22|7|18|5|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |Detroit Pistons|**15** Wayne Ellington|**8** Mason Plumlee|**5** Saben Lee| |Washington Wizards|**19** Russell Westbrook|**19** Russell Westbrook|**10** Russell Westbrook|
"Pistons get a top 3 seed and draft a stud (Cade, Suggs, Green, or Mobley) and their young core Stud, Killian, Bey, Stewart, Saben Lee, Jerami Grant shock into the playoffs next year and sign a top free agent, draft well again and are contenders within 2-3 years."
Saben lee
Saben Lee szn
Saben lee has played pretty great for 2nd rounder
"The Pistons have one of the most pitiful rosters I have ever seen. Most of these guy’s shouldn’t even be seeing playing time. Plumlee, Ellington, and Wright are starting and they should be in the 10-15 range on the bench. Who the hell is Saben Lee? That franchise is a disgrace."
Saben Lee
"Seems like a win-win then. Our 3 uninjured rookies have all looked great. Bey has made the most noise, but we LOVE Isaiah Stewart, and Saben Lee has been really good now that he's in the rotation. He's going to have a good game tonight on NBATV against the Nets, and everyone's going to be like ""What's a Saben Lee, and why does he keep getting to the basket?!"""
And Saben Lee
I just wanna see Saben Lee ball out
"Our entire last draft has looked incredible so far. Haven’t seen enough of Killian Hayes yet but Saddiq Bey, Isaiah Stewart, and Saben Lee have been fantastic all year and will hopefully be key pieces as we go along. Josh Jackson and Mason Plumlee have been great too but I’m not sure how they factor into the future. Hopefully we can get one of the top guys in the draft like Cade, Suggs, or Green who can make a huge impact immediately. I trust Weaver in FA and the draft and we’ve played a lot better than our record so I’m optimistic for the first time in a long time."
"Saben Lee should be higher on the Kia Rookie Ladder with his cool 11.0 assists per 100 over nearly the same amount of games as LaMelo.      Ball is an indisputably great passer playing PG, I don't see what that has to do with comparing shooting efficiency with a SG."
  **Timberwolves @ Pistons**  [](/MIN) **119 -  100** [](/DET)  **Box Scores: [NBA](http://www.nba.com/games/20210511/MINDET#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/minnesota-timberwolves-detroit-pistons-2021051108)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |Minnesota Timberwolves|30|32|24|33|119| |Detroit Pistons|20|20|25|35|100|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |Minnesota Timberwolves|119|45-98|45.9%|14-48|29.2%|15-21|71.4%|11|44|30|22|16|15|8| |Detroit Pistons|100|35-75|46.7%|10-23|43.5%|20-26|76.9%|6|46|21|23|8|28|5|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |Minnesota Timberwolves|**28** Karl-Anthony Towns|**8** Jarred Vanderbilt|**10** D'Angelo Russell| |Detroit Pistons|**22** Saben Lee|**8** Sekou Doumbouya|**7** Killian Hayes|
Can we talk about Saben Lee I think more people should talk about Saben Lee
Shit when was the last time four rookies were the top scorers for a team? Saben Lee was fourth tonight with 13.
What do you expect out of rookies?  That's actually a genuine question. I don't have any clue how anyone would answer that.  I don't expect out of Lamelo what I expect out of Wiseman what I expect out of Killian what I expect out of Poku what I expect out of Saben Lee what I expect out of Mason Jones.  I can't believe you've put any thought into that question whatsoever.
Saben Lee dunk contest 2022 👀
  **Pistons @ Hornets**  [](/DET) **94 -  107** [](/CHA)  **Box Scores: [NBA](http://www.nba.com/games/20210501/DETCHA#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/detroit-pistons-charlotte-hornets-2021050130)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |Detroit Pistons|18|24|28|24|94| |Charlotte Hornets|26|32|21|28|107|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |Detroit Pistons|94|35-91|38.5%|13-37|35.1%|11-17|64.7%|12|43|27|16|6|10|7| |Charlotte Hornets|107|42-87|48.3%|14-37|37.8%|9-20|45.0%|14|54|24|16|8|13|15|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |Detroit Pistons|**25** Frank Jackson|**7** Saddiq Bey|**7** Saben Lee| |Charlotte Hornets|**29** Terry Rozier|**9** Jalen McDaniels|**8** LaMelo Ball|
"[Pistons youth movement is genuinely exciting](https://twitter.com/RedAlternates/status/1387929113252405248?s=20):  - They have a bonafide interior threat big who covers a crazy amount of space on defense and is showing some 3pt shooting chopps in Stewart (19yo)  - They have a sharpshooting wing with great awareness and on ball D who is showing some ability to take the ball to the hoop and use his strength to finish in Bey (22yo)  - They have a stellar passing PG with incredible vision and great on-ball and help D in Killian (19yo)  - They have a raw project with Siakim-esque upside in Sekou (20yo)  - They have an athletic, sharpshooting bench sparkplug with HoF tier hair in Frank Jackson (22yo)  - And they have two athletic, multi-tool bench wings who play hard nosed defense in Josh Jackson (24yo) and Hamidou Diallo (22yo)  That's 6 players 22 or younger who could have lasting roles in Weaver's restoration (4 of whom are more or less locks) without counting Saben Lee or our 2021 pick. For context, before the moratorium lifted last fall, the only player on the team under 22yo was Sekou. Just an insane transformation in only 6 months."
Yeah it's annoying. So may people who have never watched a single Pistons' game try to act like their opinions are somehow correct. Like I guarantee 70% of this sub doesn't knkw Saben Lee is.
"Dwaynes really not going to give any minutes to saben lee? want in the fuck, corey joseph ain't in your future you old fool"
Why is saben lee not in the MVP conversation?
"Idk if anyone else experiences this but, in some simulations in 2k myleague, Saben Lee averages like 18+ppg 5+assist  off the bench and is top 5 in ROTY and 6MOTY. Never even heard of him until the sims and now this is the first time I've seen his name mentioned outside of 2k"
We had 3 in the top 10 a few months ago! Saben Lee joined this group
He won't last much longer with hungry young lions like Saben Lee and Gabriel Deck gunning for their time in the spotlight.
Saben Lee 💪
Saben Lee punching air rn
This year's Pistons rookie crop is super cool. Saddiq Bey and Isaiah Stewart are my favorite rookies in *yearrrrrs*. Then there's Killian and Saben Lee to boot.
I mean this isn't even close to true. You think Nico Mannion is better than Cade Cunningham right now? Or Saben Lee is better than Jalen Suggs?
"My ideal starting 5 for this necessary tank game:  \-Jahlil Okafor  \-Corey Joseph  \-Saben Lee  \-Tyler Cook  \- Servydis Deividas  Just run them for the whole game, that should do it."
"He wasn't good with Detroit? How about Detroit wasn't good with him? Especially with the way the coach told him he has just as good as a shot there then New York. With that attitude no wonder the pistons are doing horrible. Coach needs to pick that team up. Easily was the best PG dare I say player for Detroit in his short time there especially when you look at the PG depth for Detroit and they just have Killian Hayes, Cory Joseph, saben lee and Frank jackson  . Rose has been putting up numbers all besides the Cavs season. But I will agree he's been playing phenomenal with the Knicks. But I'll end this on a note that if you haven't been following rose since the bulls traded him to New York originally then you've been vastly missing out on the Renaissance of a man coming back to form when all seemed to give up on him."
"There is absolutely no way I am taking RJ Hampton over Deni Avdija. Deni is the youngest player in the class and has been utilized in a really poor way by Brooks. Isaiah Stewart should also be above Hampton, he's been excellent this season.  Definitely would take Quickley over Okoro/Poku. He's shown way too much as a contributor on a playoff team already. Also probably a couple guys to take over Nwora including Jae'Sean Tate and Saben Lee"
  **Heat @ Pistons**  [](/MIA) **120 -  107** [](/DET)  **Box Scores: [NBA](http://www.nba.com/games/20210516/MIADET#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/miami-heat-detroit-pistons-2021051608)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |Miami Heat|32|37|26|25|120| |Detroit Pistons|13|34|24|36|107|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |Miami Heat|120|47-84|56.0%|13-34|38.2%|13-20|65.0%|6|39|32|19|11|10|5| |Detroit Pistons|107|40-86|46.5%|11-35|31.4%|16-22|72.7%|7|33|26|21|4|16|4|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |Miami Heat|**23** Precious Achiuwa|**10** Precious Achiuwa|**11** Tyler Herro| |Detroit Pistons|**22** Saddiq Bey|**9** Tyler Cook|**7** Saben Lee|
*Four rookies.  Saben Lee was a fucking steal in the second round.
"OKC has the best player in Shai, Dort is really good, and obviously a ton of picks.  However, I believe the Pistons have the better overall prospects and potential/fit as a team. Bey and Stewart already proved as rookies that they are very valuable players in the modern NBA. Killian Hayes still has a ton of potential. Obviously Cade coming in is a great prospect. He could be a superstar very soon. Even Sekou is still an unknown at still 20 years old. Then you throw in Saben Lee who surprised as a 2nd round point guard, and 3 second round picks this year (37, 42, 52) which could be packaged along with a player to move back into the first, this Pistons have quite a collection of solid young players. Plus Jerami Grant is the best of both teams veterans, and fits perfectly with the young core.   So basically at this time I'd say the Pistons will be better sooner. Now this can obviously change if Cade busts, the Pistons rookies from last year don't really improve at all, the Thunder hit on a few draft picks, package them for a legit star, or outright win the lottery, Poku actually becomes a good/great player, or if there are injuries, etc."
"Delon Wright was traded at the deadline,  the likely starting lineup will be  Hayes Cunningham Bey Grant Stewart   with a mix off the bench of: mason plumlee, saben lee, josh/frank jackson, and a likely late first rounder as the pistons will probably try to trade back up with their 3 seconds"
"I think Weaver wouldn’t care too much for picks 23/24 and would rather pick up future picks. Our roster is already at 9 guaranteed spots, plus Cook who will definitely be guaranteed, and then bringing back Hamidou Diallo and Saben Lee, possibly Frank Jackson too. You’d be at 12 roster spots with picks 2, 23, 24, plus three second rounders, which obviously does not work."
yh unlikely for sekou but hayes looked good to end the year and dsj is probably gone i don't think he counts replace him with saben lee and even tho their team not that good they shouldn't sign derozan imo he just slows down their development
"There definitely was more than that. Stewart, Killian Hayes, Frank Jackson, Saben Lee, Hamidou Diallo, and Josh Jackson all showed reasons to be excited."
"Yeah I picked Bey up off the waiver wire. It was awesome. I had so many good waiver wire plays. Being in a deep league is way more fun because you have to watch the 12th man on the bench and injuries more.  Bey, Diallo, Kaminsky had a good run for me, Cam Payne, Bismack had a few decent games, Moses Brown, Kenrich Williams, Saben Lee"
"Dame to Detroit. Portland gets Plumlee, Jahlil Okafor, and Saben Lee. No take backs. /s"
"As a Pistons fan I finally have players that I want to keep around lol. As many suggested before, I would probably move the number down to 6 simply because so many teams don’t have 8 great players to keep around.  (2020-2021 roster) 1. Killian Hayes 2. Isaiah Stewart  3. Saddiq Bey 4. Mason Plumlee  5. Jerami Grant 6. Hamidou Diallo 7.  Sekou Doumbouya 8. Saben Lee  Obviously 1-6 isn’t in really any order, but keeping the starters and all one of the better bench players we’d be fine. Sekou would probably be taken due to potential, but it’d also depend on who else is taken. I don’t believe Saben Lee would be taken due to being a solid rookie but not great enough to warrant being picked."
"What are you talking about? We have a center that just made all-rookie, and we only have 2 point guards: Killian Hayes and Saben Lee. Hardly guys you don’t draft Cade for. Fuck them picks I want the superstar prospect"
"Why would the Pistons do this, they lose 27 year old Jerami Grant for 32 year old Bledsoe, who is a much worse player.  Just to take a flyer on a #10 pick who will be a crapshoot instead of proven commodity like Grant?  And Bledsoe is not cracking the Pistons starting lineup with Cade/Killian and won't even be a top player off their bench with Plumlee, Frank Jackson, Hamadou Diallo all above him...not too mention they need to give time to Sekou and Saben Lee, etc.  This trade makes the Pistons much worse."
DSJ is probably gone I'd bet. Pistons will probably prioritize re-signing Diallo and hopefully sign Frank Jackson and Saben Lee to guaranteed deals as both were on 2-way contracts last season and played very well.
"I'm jealous of detroit now, bey a sharp shooter 3 guy, Killian hates, saben Lee, Stewart looks incredible, now Cade. Even doumbouya has potential. Might be missing someone else. How is there defense"
"I mean, Pistons potential roster in 2-3 years:  G/W Killian Hayes  G/W Cade Cunningham  W/F Jerami Grant  W/F Saddiq Bey  F/C Isaiah Stewart   Bench:  G/W Hamidou Diallo  G Saben Lee  W/F Deividas Sirvydis  W/F Sekou Doumbouya   Plus any other draft picks or FA signings. I like that roster, tbh"
"Wood was already gone, the Pistons signed Plumlee after it was already obvious that Wood was gone.   This Pistons management also got Saddiq Bey and Isaiah Stewart with 16th and 19th pick (two all rookie guys), a breakout ""borderline"" all star in Jerami Grant, Hamidou Diallo by giving up Svi Mkhyaluak (idk how to spell it), Josh Jackson for only 5 million (averaged 14 and 4), and Saben Lee in the second round (averaged 6 and 4 in low minutes off the bench).   I'd say they've done fine."
Debatably fourth saben lee played well
"Hell of a lot of players 23 and under:   Cade, Hayes, Bey, Stew, Diallo, Doumbouya, Saben Lee, DSJ."
"Not the best, but will be most entertaining team next season for sure.  Saben lee, Stewart, Bey, Hayes, cade, sekou, Pistons may have drafted themselves a serious contender"
"Pistons roster has 2 top ten rookies, another rookie in Killian who looks very promising and a very solid player in Jerami Grant. Not to mention other high potential guys who fly under the radar, Sekou, Frank Jackson, Saben Lee and Hami Diallo. Pistons are in a pretty good start 1 year into the new front office regime."
"Nah, he doesn't fit our timeline. Especially with how we are (or should be) prioritising developing Hayes and Saben Lee as our PGs of the future, having Kemba here would just suck away their time on the court and hinder their development. Other than Grant, there really shouldn't be any 'big name' vets on our team taking up starter minutes."
I can help you with Detroit   Casey is the HC  Bey Grant  Beef stew  Cojo  Plumdog  Hayes  Saben lee   Hope that helps if anyone asks
"It’s actually 4, Saben Lee looks like he could be a backup PG right now lol. He’s just been hurting for mins bc he’s behind CoJo/Hayes in the depth chart and we gave DSJ burn to see what we had in an expiring. Insane draft overall for us"
"Cade, Grant, Bey, Killian, Isaiah Stewart, Kelly Olynk, Josh Jackson, Hamidou Diallo, Jahlil Okafor, Saben Lee, Cory Joseph, Sekou Dombouya"
Looking at their depth chart:  PG: Killian Hayes / CoJo / Saben Lee  SG: Cade / Frank Jackson / Josh Jackson  SF: Jerami Grant / Hamidou / Josh Jackson  PF: Saddiq Bey / Trey Lyles / Sekou  C: Olynyk / Beef Stew  I mean yeah I think he's firmly in the third string right now. I could see him fighting for second-string minutes against either Jackson or Hamidou.  I'm still rooting for the guy and I think even if Detroit lets him go some team will take a flier on him. Kind of surprised Memphis got rid of him in the first place.
Saben Lee
I think Saben Lee could be like a more athletic Lou Williams. Maybe not a super star. But I think he could be a 6MOTY candidate for a long time
