Willy Hernangomez and Wenyen Gabriel aka Quadruple U
  **Pelicans @ Nets**  [](/NOP) **111 -  139** [](/BKN)  **Box Scores: [NBA](http://www.nba.com/games/20210407/NOPBKN#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/new-orleans-pelicans-brooklyn-nets-2021040717)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |New Orleans Pelicans|33|26|23|29|111| |Brooklyn Nets|36|43|36|24|139|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |New Orleans Pelicans|111|38-89|42.7%|6-27|22.2%|29-39|74.4%|17|40|23|14|9|14|2| |Brooklyn Nets|139|51-92|55.4%|19-41|46.3%|18-22|81.8%|10|45|37|31|10|17|8|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |New Orleans Pelicans|**26** Eric Bledsoe|**7** Willy Hernangomez|**6** James Johnson| |Brooklyn Nets|**24** Kyrie Irving|**8** Bruce Brown|**8** Chris Chiozza|
I don't get it either... Willy Hernangomez/Jaxson Hayes are not *that* steep of a drop-off and are not as $$$$
  **Pelicans @ Rockets**  [](/NOP) **122 -  115** [](/HOU)  **Box Scores: [NBA](http://www.nba.com/games/20210404/NOPHOU#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/new-orleans-pelicans-houston-rockets-2021040410)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |New Orleans Pelicans|38|32|19|33|122| |Houston Rockets|27|32|33|23|115|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |New Orleans Pelicans|122|42-91|46.2%|16-37|43.2%|22-35|62.9%|16|55|26|27|12|15|9| |Houston Rockets|115|41-89|46.1%|16-40|40.0%|17-24|70.8%|9|48|25|24|3|17|3|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |New Orleans Pelicans|**27** Lonzo Ball|**12** Willy Hernangomez|**9** Lonzo Ball| |Houston Rockets|**26** Kelly Olynyk|**12** Christian Wood|**5** Kevin Porter Jr.|
  **Hawks @ Pelicans**  [](/ATL) **126 -  103** [](/NOP)  **Box Scores: [NBA](http://www.nba.com/games/20210402/ATLNOP#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/atlanta-hawks-new-orleans-pelicans-2021040203)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |Atlanta Hawks|28|27|39|32|126| |New Orleans Pelicans|34|20|25|24|103|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |Atlanta Hawks|126|49-87|56.3%|13-29|44.8%|15-21|71.4%|6|42|25|23|10|15|9| |New Orleans Pelicans|103|38-88|43.2%|8-29|27.6%|19-23|82.6%|5|34|22|18|7|15|6|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |Atlanta Hawks|**26** Bogdan Bogdanovic|**10** Clint Capela|**8** Lou Williams| |New Orleans Pelicans|**21** Kira Lewis Jr.|**9** Willy Hernangomez|**6** James Johnson|
Or if it’s a lower tier player.   How much help does Willy Hernangomez need?
"They won't really move the needle, but you can also add Willy and Juancho Hernangomez for some more depth"
Willy Hernangomez is nice as fuck
We could have kept Christian Wood on the roster for around 13m so it really makes no sense. Give me Christian/Jax/Willy Hernangomez any day.
Our other center Willy Hernangomez is only like a year younger than Adams but looks like a baby standing next to him.
  **Pelicans @ Mavericks**  [](/NOP) **107 -  125** [](/DAL)  **Box Scores: [NBA](http://www.nba.com/games/20210512/NOPDAL#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/new-orleans-pelicans-dallas-mavericks-2021051206)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |New Orleans Pelicans|30|28|22|27|107| |Dallas Mavericks|32|45|34|14|125|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |New Orleans Pelicans|107|36-87|41.4%|7-28|25.0%|28-38|73.7%|11|44|18|18|5|12|2| |Dallas Mavericks|125|47-96|49.0%|15-45|33.3%|16-20|80.0%|9|48|23|27|4|8|2|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |New Orleans Pelicans|**15** Eric Bledsoe|**10** Willy Hernangomez|**4** Eric Bledsoe| |Dallas Mavericks|**33** Luka Doncic|**8** Dwight Powell|**8** Luka Doncic|
  **Pelicans @ Hornets**  [](/NOP) **112 -  110** [](/CHA)  **Box Scores: [NBA](http://www.nba.com/games/20210509/NOPCHA#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/new-orleans-pelicans-charlotte-hornets-2021050930)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |New Orleans Pelicans|34|23|32|23|112| |Charlotte Hornets|25|42|29|14|110|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |New Orleans Pelicans|112|45-96|46.9%|12-37|32.4%|10-22|45.5%|16|51|26|20|11|16|9| |Charlotte Hornets|110|42-95|44.2%|13-37|35.1%|13-18|72.2%|11|46|22|19|6|17|8|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |New Orleans Pelicans|**24** Eric Bledsoe|**16** Willy Hernangomez|**11** Eric Bledsoe| |Charlotte Hornets|**43** Terry Rozier|**12** P.J. Washington|**5** LaMelo Ball|
  **Pelicans @ 76ers**  [](/NOP) **107 -  109** [](/PHI)  **Box Scores: [NBA](http://www.nba.com/games/20210507/NOPPHI#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/new-orleans-pelicans-philadelphia-76ers-2021050720)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |New Orleans Pelicans|21|33|37|16|107| |Philadelphia 76ers|32|38|18|21|109|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |New Orleans Pelicans|107|41-101|40.6%|9-36|25.0%|16-22|72.7%|16|52|26|21|12|10|6| |Philadelphia 76ers|109|38-85|44.7%|15-35|42.9%|18-22|81.8%|10|51|27|19|5|15|6|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |New Orleans Pelicans|**19** Jaxson Hayes|**9** Willy Hernangomez|**5** Naji Marshall| |Philadelphia 76ers|**37** Joel Embiid|**13** Joel Embiid|**10** Ben Simmons|
"the Charlotte 2RP in the Rose trade was from the Willy Hernangomez trade, if you can believe that. In other words, trading KP’s Euroleague buddy."
"The trade was actually better than just getting Saric though, as it was for the Payton pick.  The Payton pick was traded for the Saric pick, the Willy Hernangomez pick, and the Landry Shamet pick."
"They actually got the deal wrong, it was for the Elfrid Payton pick.   The Payton pick was traded for the Saric pick, the Willy Hernangomez pick, and the Landry Shamet pick."
  **Pelicans @ Timberwolves**  [](/NOP) **140 -  136** [](/MIN)  **Box Scores: [NBA](http://www.nba.com/games/20210501/NOPMIN#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/new-orleans-pelicans-minnesota-timberwolves-2021050116)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**OT1**|**Total**| |:---|:--|:--|:--|:--|:--|:--| |New Orleans Pelicans|38|27|33|25|17|140| |Minnesota Timberwolves|30|35|32|26|13|136|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |New Orleans Pelicans|140|47-92|51.1%|14-36|38.9%|32-46|69.6%|14|52|34|20|8|21|5| |Minnesota Timberwolves|136|48-106|45.3%|15-48|31.2%|25-32|78.1%|13|51|35|30|17|16|5|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |New Orleans Pelicans|**37** Zion Williamson|**12** Willy Hernangomez|**8** Zion Williamson| |Minnesota Timberwolves|**29** Anthony Edwards|**14** Karl-Anthony Towns|**11** D'Angelo Russell|
WILLY HERNANGOMEZ
"Willy Hernangomez did the following things in the final 7 minutes of the 4th quarter and OT: 8 rebounds (4 offensive rebounds,) 2 clutch free throws, game-tying shot in regulation and a clutch  steal in the final minute of OT to essentially seal the win.   Zion (38/9/8/1/1 on 14/17 shooting) and Lonzo (33/11/8/3) will grab the headlines for this game, but Willy was really clutch and deserves to be lauded for his heroics too."
  **Pelicans @ Thunder**  [](/NOP) **109 -  95** [](/OKC)  **Box Scores: [NBA](http://www.nba.com/games/20210429/NOPOKC#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/new-orleans-pelicans-oklahoma-city-thunder-2021042925)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |New Orleans Pelicans|31|29|19|30|109| |Oklahoma City Thunder|20|23|25|27|95|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |New Orleans Pelicans|109|45-101|44.6%|5-29|17.2%|14-19|73.7%|15|56|26|22|11|12|6| |Oklahoma City Thunder|95|34-89|38.2%|11-39|28.2%|16-20|80.0%|12|53|18|21|6|22|4|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |New Orleans Pelicans|**27** Zion Williamson|**10** Willy Hernangomez|**6** Zion Williamson| |Oklahoma City Thunder|**17** Luguentz Dort|**18** Moses Brown|**4** Theo Maledon|
Can’t believe my boy Willy Hernangomez is still in the league
  **Clippers @ Pelicans**  [](/LAC) **103 -  120** [](/NOP)  **Box Scores: [NBA](http://www.nba.com/games/20210426/LACNOP#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/los-angeles-clippers-new-orleans-pelicans-2021042603)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |Los Angeles Clippers|20|28|30|25|103| |New Orleans Pelicans|33|29|33|25|120|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |Los Angeles Clippers|103|36-90|40.0%|14-45|31.1%|17-17|100%|13|44|20|23|5|18|5| |New Orleans Pelicans|120|44-82|53.7%|15-29|51.7%|17-26|65.4%|8|44|28|18|13|16|5|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |Los Angeles Clippers|**17** Terance Mann|**11** DeMarcus Cousins|**5** Reggie Jackson| |New Orleans Pelicans|**23** Zion Williamson|**10** Willy Hernangomez|**7** Lonzo Ball|
"Willy Hernangomez, Jaxson Hayes, and Wenyen Gabriel were all so good tonight.  Willy was a difference-maker and just gives the guys an energy boost that I don't think we get all the time."
Shout out willy hernangomez
"Shoutout to Knicks legend Willy Hernangomez , glad he’s still in the league"
  **Pelicans @ Magic**  [](/NOP) **135 -  100** [](/ORL)  **Box Scores: [NBA](http://www.nba.com/games/20210422/NOPORL#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/new-orleans-pelicans-orlando-magic-2021042219)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |New Orleans Pelicans|29|45|34|27|135| |Orlando Magic|27|25|18|30|100|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |New Orleans Pelicans|135|50-90|55.6%|12-28|42.9%|23-26|88.5%|12|58|34|16|2|14|3| |Orlando Magic|100|36-98|36.7%|13-36|36.1%|15-19|78.9%|13|40|13|18|6|4|6|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |New Orleans Pelicans|**29** Brandon Ingram|**12** Willy Hernangomez|**12** Lonzo Ball| |Orlando Magic|**17** Mo Bamba|**12** Mo Bamba|**4** Chasson Randle|
"He seems like he stays to himself and with his family. I used to work with the Knicks G League team and one season had almost all the guys come to games here and there, usually as a group, except KP. Willy Hernangomez (KPs best friend) even came down a few times and KP never showed up with him.   Side note, Kyle O'Quinn is the fuckin man. He would show up solo, hang out and sign autographs and take pics with everyone who wanted one. Literally walking out the door and still taking pics and stuff."
"Its weird that they're both such good friends with Willy Hernangomez, but don't like each other"
"Steven Adams is Roy Hibberting. He can't defend a pick and roll or block shots anymore, and has been benched in crunch time for Willy Hernangomez in recent games."
"&gt; You think fans are worse because you don't identify as an athlete,  i literalyl played soccer at youth level in brazil with huge crowds on multiple occasions, lol. the level of play was never as relevant to my personal experience as a bunch of grown man threatening to beat me and screaming (the most creative they could come with) personal insults 2 meters from me in the crowds. crazy, huh? playing against a huge hateful crowd gets the adrenaline pumping much more than playing against a top tier team in a library - simple as that.  &gt; Dude, I have professional basketball players in my family, I have known 30 plus d1 players, many of whom played over seas too. College arenas get as loud as those over seas one, too.  americans being excepcionalist and thinking their version of something is the most special, the most hardcore, the one with most pressure, lol. colour me surprised. and your version of the story completely ignores all i mentioned about how those players are coming into the league and europe, in their and their families countries, taking it completely seriously and professionally. nba players that go to europe are taking a downgrade / admitting failure, so from their perspectives, of course they are not going to see it as much pressure. and yes, ""not being good enough"" is a certain type of pressure, but that's not what we were talking about here - luka and giannis are not even close to not being good enough.   &gt;  there is no argument otherwise.  what a shitty way to end a reply, btw - specially since it's pretty fucking clear you are going to argue forever for the sake of arguing and make up stories about dozens of imaginary basketball players that played in europe and talked to you about this subject specifically, just not to give in. and you are a type too common on the internet.  and well, [argue with them](https://www.thescore.com/nba/news/1895785):  &gt; Nicolas Batum  Current team: Hornets Played for teams in France  I've played EuroLeague games where it gets pretty crazy. Serbia, Turkey, and Greece are the top three in my mind. My first NBA game, I had to play against the Lakers in Staples Center against Kobe (Bryant) - MVP Kobe. **Coach (Nate McMillan) was like, 'You won't be scared to play against Kobe in front of 20,000 people, will you?' I was like, 'Coach, I've played in Greece, in Belgrade … this will be nothing compared to that.'**  It's just different. The atmosphere is crazy. Panathinaikos, Partizan Belgrade, Fenerbahce, those places. The first EuroLeague game I ever played in Turkey, they had protection over the benches, and during the timeouts, while my coach was talking, all you could hear was things hitting the shield, like, 'bap, bap, bap.'   &gt; Bogdan Bogdanovic  Current team: Kings Played for teams in Serbia and Turkey  Here (in the NBA), there are lots of fans of individual players. **Over there, it's more about the teams. There are different cultures in every league in every country there. It's unbelievable. The fans there really take it personal, like they are in the games. They are really nervous and mad in the games like the players. But to me, that makes it nice to play there, even on the road. It's a different kind of pressure. You have to experience it for yourself.** For me, I'm used to it, so playing in a game where fans are throwing coins or lighters or phones is nothing new. Over there, it's normal. They're pointing lasers in your face while you shoot free throws.  &gt; Willy Hernangomez  Current team: Hornets Played for teams in Spain  When I was playing for Madrid, we had a EuroLeague game in Turkey. I'll always remember this: That I was warming up before the game, and I lost the ball, and it bounced and rolled all the way to the stands, and I remember, I didn't even think about going to get the ball like here (in the NBA). The fans there are really crazy. You really feel scared sometimes. There's no way here I would feel (scared) like that. The people there really support their teams and you have to respect them, but sometimes they also cross the line.  **There are some arenas here that are really quiet, you don't even notice people are there, so for us (who have played in Europe), not that the NBA is easier because you never want to say easy, but maybe getting used to the crowds there doing everything crazy, makes it easier for us to focus on the game here. Here, we don't even have to pay attention to the fans.**  &gt; Furkan Korkmaz  Current team: 76ers Played for teams in Turkey  **They will talk shit about your family, and not like here. About your mom, your dad, if you have sisters, they know everything. They will Google stuff about your family, and I was still really young when I played over there, so think how crazy that is.**  &gt; Frank Ntilikina  Current team: Knicks Played for a team in France  My craziest memory was the (2016) EuroCup final against Galatasaray. The away game in Turkey, I remember walking to the locker room before the game and the walls were shaking because the fans were already so crazy inside. We (SIG Strasbourg) couldn't hear our coach talking in the locker room, because of the fans in the arena.  &gt; Joe Ingles  Current team: Jazz Played for teams in Spain and Israel  Serbia and Turkey were always the craziest, but I remember in Greece one year, in Panathinaikos, someone threw a plastic cup of Coke at us during a timeout, and it landed right on our coach's whiteboard while he was drawing up a play. That's pretty funny, but it wasn't funny at the time. He was pretty mad, but what are you going to do? They don't kick people out for that stuff there or try to find out who did it.  One of my teammates, I don't remember if it was a lighter or a thick coin, but one of my teammates one year got his head split open from someone throwing something. But then there's a good kind of crazy, too. Maccabi (in Israel), where I played, no one was throwing anything, but to have 15,000 people love being such a part of the game, it was wild.  &gt; P.J. Tucker  Current team: Rockets Played for teams in Israel, Ukraine, Greece, Italy, and Germany  **There's nothing like Greece and Turkey. Israel's pretty turned up, too. But yeah, over there, it's not like fans. It's like gangs. It's like hoods. It's about where you're from, and they take it very personal. They love - love - their teams. When I was in Greece, I played for Aris, and when we played PAOK, I had to have a security detail, because it's a big, big rivalry in Thessaloniki. It splits the city. When we played, it got so crazy that they shut the fans out and we had to play a game (later) that season with no fans (in the arena).**  I played a game in Turkey where fans were lighting coins - like using a lighter to light the coins - then throwing them at us.  &gt; Goran Dragic  Current team: Heat Played for teams in Slovenia and Spain  I've played a lot of games in Belgrade and other places where if you're not careful, you can get hurt. They throw crazy stuff. I've been a part of one game in Olympiacos (Greece) where they threw oranges on the court. I never found out why. In Belgrade, they just throw coins and lighters. In Europe, most of the arenas, they put a protection, like a tunnel, behind the benches, so players don't get hit. When you're sitting on the road bench in Europe, all you hear is 'tick tick tick' - things hitting the tunnel. It's part of it. You get used to it.  One game I played in Croatia, in Zadar, and they have this organization of fans that are really crazy. We had an incident where one of our players got in a fight with a Zadar player, and these fans broke onto the court, and we just took off, we had to run (away) to the locker room in the middle of the game. I was only 16 at the time.  It's funny you know, over there, when you're on the road, you don't know if the security guys are with them or if they are going to protect you."
"Also, Adams made $25M more than Willy Hernangomez this year. Is there really that big of a difference between what those two bring to the floor?"
"Spain starts with Rubio, Abrines, Juan Hernangomez, Mirotic, and Gasol with Willy Hernangomez and Ibaka off the bench."
"Wasn't he great friends with Willy Hernangomez? And KOQ? And he got along well with THJ, Frank and Enes as well"
Apparently he told Willy hernangomez (KPs best friend) “tell your friend to stop playing like a pussy”.
  **Lakers @ Pelicans**  [](/LAL) **110 -  98** [](/NOP)  **Box Scores: [NBA](http://www.nba.com/games/20210516/LALNOP#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/los-angeles-lakers-new-orleans-pelicans-2021051603)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |Los Angeles Lakers|36|27|28|19|110| |New Orleans Pelicans|28|31|17|22|98|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |Los Angeles Lakers|110|45-96|46.9%|11-35|31.4%|9-15|60.0%|8|42|30|16|14|9|5| |New Orleans Pelicans|98|37-78|47.4%|9-25|36.0%|15-21|71.4%|8|47|26|18|4|21|5|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |Los Angeles Lakers|**25** LeBron James|**13** Andre Drummond|**6** LeBron James| |New Orleans Pelicans|**19** Willy Hernangomez|**13** Willy Hernangomez|**7** Naji Marshall|
"He was kind of a disaster at the beginning of the year. If they didn't have Adams it would have been a disaster. He even got knocked out the rotation for a few weeks in favor of Willy Hernangomez. But he really made an impact when he made his way back in. The defense switching to a drop scheme definitely helped him, just being able to keep everything in front of him. And he had a bit more of a green light to do stuff offensively with the injuries going on. Even had a 3/3 shooting game from 3 lol."
1. Willy Hernangomez 2. J.J. Hickson 3. Chinanu Onuaku
"76ers were locked in as a 35~ win team after the Bynum trade destroyed them and Jrue was going to demand a max. So because he was all star caliber they flipped him for Noel and a first. Then traded the first for 2 firsts(Saric, Shamet) and a second(Willy Hernangomez). That 76ers team sucked hard and was boring so there wasn't any real national buzz around him until the trade."
Brook and Robin Lopez Willy and Jauncho Hernangomez Paul and Marc Gasol
"15. should be Willy ""Billy"" Hernangomez"
Willy Hernangomez bring him home!
"Serbia has Jokic, Bogdanovic, Bjelica, Boban and Pokusevski.   Spain has Marc, Rubio, Juancho Hernangomez, Willy Hernangomez and Garuba (top 15 prospect).   France has Gobert, Fournier, Batum, Hayes, Ntilikina, Doumbouya, Maledon...  Australia has also some NBA players.  The best national teams have around half of their players in the NBA."
"Sato is a consistent player who can do everything on the court, he’s been underrated all offseason  Jones was a bad backup point guard last year and Kira is also a better defender  Naji is a good defender, playmaker, can shoot the 3 ball at a solid rate, and can attack the basket well. Similar to Kyle but more pleasing to watch  Billy is Willy hernangomez  Just face it, our depth is better than whatever Memphis is doing  Graham is a pretty good point guard, he was just put into a logjam. He won’t be in that position this year"
"Yeh, he was outplayed by Pau and Willy hernangomez on his own team. Not a good sign."
Jaden and jalen mcdaniels. Juancho and willy hernangomez.
This would literally leave the Pelicans with Jaxson Hayes and Willy Hernangomez at centre.
"They still boost heights lol. Willy Hernangomez is listed at 6’11. I’m 6’5 and stood next to him. He’s gotta be 6’9 at best, prob closer to 6’7 or 8"
Ex all rookie player Willy Hernangomez
Top remaining centers:    Ed Davis	  Enes Kanter  Frank Kaminsky	  Hassan Whiteside	  Willy Hernangomez	  Isaiah Hartenstein	  DeMarcus Cousins
"I'm a spanish fan myself, and yes, I haven't seen Marc playing as expected.   Almost no 3pt shooting, not many high post plays despite how strong he is there. Marc didn't play well in the olympics, but with him being at this level, i'd put Willy Hernangomez over him (even when I admit he needs to step up in almost every aspect)"
Willy Hernangomez outplayed him too
Hernangomez outplayed him like Willy is the NBA star
Willy Hernangomez is gonna get PAID after this performance
Knicks legend Willy Hernangomez
And prime Mutombo in the form of Willy Hernangomez.
Willy Hernangomez
knicks and hornets legend willy hernangomez THANK YOU
