HERBERT JONES WILL BE AN ALL ROOKIE TEAM PLAYER ON THE CELTICS.   FACT.
NO! HERBERT JONES DID NOT JUST HIT THAT
"cmon give herbert jones a shout out, you know you want to"
Herbert Jones out here looking dangerous
"Unfamiliar with this Pels team, who's Herbert Jones?"
Herbert Jones - 31.5 minutes 1 FGA. Man knows his role.
They’re starting a man named Herbert Jones and he’s playing 30 minutes per game. That’s all that needs to be said about the supporting cast
Who the fuck is herbert jones
A guy named Herbert Jones had the best +/- for the Pelicans.
"idk what it is but something about that pass to herbert jones is fiiilthy naw looks really good out there, would not be shocked if he took a leap"
"They didn't really need him to be a star going forward. Ingram/Zion/JV would all handle the Star duties. And there was more depth incoming. Herbert Jones and Trey Murphy both look like they will be solid rotation pieces.   In the 2021 season, I agree they definitely were needing him to be a star. But they made some decent moves in the offseason where I think a healthy Zion + Lonzo would have them competing for the playoffs this season."
"what an incredible game, Ingram with some highly questionable decision making for the entire 4th quarter but gave it up to graham at the right time. herbert jones 20 games into his career getting the donovan mitchell assignment in crunchtime on the road in utah and handling it well is exciting stuff too      pellies showing some signs of life and zion supposedly on his way back"
"JV is the man, DV is clutch. Herbert Jones will be a future DPOY"
I believe in Herbert Jones supremacy
You just lost to a man named Herbert Jones who had Mitchell in a torcher chamber.
I believe in Herbert Jones supremacy
Who tf is Herbert Jones lmaooo    Edit: after googling I now know why I’m unaware of his presence   I’m so indifferent to everything Pelicans it’s ridiculous.
Herbert F Jones
If Herbert Jones develops a reliable shot he can be the next Kawhi
Herbert Jones Baby!!!
What is a Herbert Jones and why?
Herbert Jones has a big dick
"Bones Hyland is the most impressive player in the very early season outside of the top 10, besides Duarte. He is starting to play valuable minutes and a valuable role for a playoff team. Can't get much better than that. Same could be said about Dalano Banton and Ayo Dosunmu, even though both of them thrive because of mostly pure hustle and less because of very valuable, role-oriented skills. At least compared to Bones.  I dig what I see from Jeremiah Robinson-Earl, from OKC. He has the tools to be a good role player in the NBA for a long time. He rebounds well for his size, makes the simple right plays.   Same could be said about Herbert Jones from the Pelicans, but he mostly stands out with his defensive effort because the rest of the Pelicans are really, really bad as a team. Including Trey Murphy III, but he'll figure out his best role once Zion is back. Someday.   I get the mentioning of Sengün, but I don't like the Iso-heavy playstyle of the Rockets at all. He's good at anticipating where the ball goes on defense and he has a few flashes as a scorer and playmaker on offense. Advanced stats love him, eye test isn't that convincing for me yet (looks like a Delon Wright case from the past where stats are more uplifting than the eye test). I'd love to see a whole lot more of Garuba, honestly. It's a shame he doesn't get to play and show his defensive tools - I hope Stone sends Wood or Theis out before the trade deadline.   I'm sensing that Tre Mann is starting to slowly find his shot and confidence on offense. He looks really interesting as a Lou Will type of player. I trust him more than Cam Thomas and he could be visually even wetter than Bones on some nights if he finds his groove and role in Oklahoma. His skill to create separation from defender is pretty remarkable. Buuut.. He has a long ways to go to even earn a stable role in the Thunder's rotation.   I don't truly understand Snyder benching Jared Butler after Butler's poor start (let him play through it, because, God, the Jazz need more athleticism, smart playmaking and youth on the perimeter).   There hasn't really been anything more. Mamukelashvili was... um, tolerable as the worst option in the Bucks frontcourt when Lopez and Portis were both out. I guess you can say the same about Garza and probably Bassey when he gets more minutes as Embiid is in the protocols. Moses Moody will give sporadic minutes every now and then, but I think he'll mostly be in the G-League. Most of the guys outside of the top 10 are waiting for their chances in January-April, when vets are having more rest days and tank race is underway, especially after February."
Herbert Jones.
Herbert Jones
You were so close to having Herbert Jones announce the house arrest roster
"Yeah i hadnt been able to catch a full game yet this year cus work and stress and shit, they definitely impressed me today though  Im a Herbert Jones stan until proven otherwise for sure and the Valanciunas trade still looks like a W assuming him and Zion mesh (decent sized assumption though)"
