"Pels bros, who's the dude on your bench lookin' 40 years old? Is that Naji Marshall?"
"I'd rather start Nickeil Alexander-Walker, Kira Lewis Jr., Josh Hart, and even Naji Marshall our two-way player over Bledsoe."
Naji Marshall
  **Pelicans @ Wizards**  [](/NOP) **115 -  117** [](/WAS)  **Box Scores: [NBA](http://www.nba.com/games/20210416/NOPWAS#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/new-orleans-pelicans-washington-wizards-2021041627)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**OT1**|**Total**| |:---|:--|:--|:--|:--|:--|:--| |New Orleans Pelicans|29|32|28|16|10|115| |Washington Wizards|30|32|24|19|12|117|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |New Orleans Pelicans|115|40-97|41.2%|7-28|25.0%|28-33|84.8%|11|56|26|22|11|15|7| |Washington Wizards|117|45-96|46.9%|4-27|14.8%|23-32|71.9%|3|46|24|24|5|13|7|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |New Orleans Pelicans|**34** Brandon Ingram|**12** Steven Adams|**6** Naji Marshall| |Washington Wizards|**36** Russell Westbrook|**15** Russell Westbrook|**9** Russell Westbrook|
Naji Marshall
Who the hell do you think Naji Marshall is. That’s Bledsoe
"well lately all of our guards are injured so he doesn’t have much of a choice, unfortunately. It’s basically just him, Kira Lewis Jr. (a rookie), and Naji Marshall (an undrafted rookie on a 2-way contract who has been playing pretty well)"
"Shoutout Naji Marshall, he was very good"
Zion Williamson / Naji Marshall
Why isn’t Naji Marshall talked about as a top 200 MVP candidate?
Naji Marshall. But I really like putting both of them around Zion.
NAJI MARSHALL
"Steven Adams, Lonzo Ball, Kira Lewis, Naji Marshall, and some picks for Damian Lillard and Jusuf Nurkic?  Pelicans Starting 5: Dame, NAW, BI, Zion, Nurk  Blazers Starting 5: Lonzo, CJ, Cov, Naji, Aquaman"
NAJI MARSHALL
  **Lakers @ Pelicans**  [](/LAL) **110 -  98** [](/NOP)  **Box Scores: [NBA](http://www.nba.com/games/20210516/LALNOP#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/los-angeles-lakers-new-orleans-pelicans-2021051603)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |Los Angeles Lakers|36|27|28|19|110| |New Orleans Pelicans|28|31|17|22|98|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |Los Angeles Lakers|110|45-96|46.9%|11-35|31.4%|9-15|60.0%|8|42|30|16|14|9|5| |New Orleans Pelicans|98|37-78|47.4%|9-25|36.0%|15-21|71.4%|8|47|26|18|4|21|5|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |Los Angeles Lakers|**25** LeBron James|**13** Andre Drummond|**6** LeBron James| |New Orleans Pelicans|**19** Willy Hernangomez|**13** Willy Hernangomez|**7** Naji Marshall|
I do like me some Naji Marshall 3 pointers.
Naji “Squint and you might see Brandon Ingram” Marshall
  **Pelicans @ Warriors**  [](/NOP) **122 -  125** [](/GSW)  **Box Scores: [NBA](http://www.nba.com/games/20210514/NOPGSW#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/new-orleans-pelicans-golden-state-warriors-2021051409)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |New Orleans Pelicans|32|25|33|32|122| |Golden State Warriors|41|34|24|26|125|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |New Orleans Pelicans|122|46-99|46.5%|11-27|40.7%|19-28|67.9%|12|51|21|23|6|9|3| |Golden State Warriors|125|42-87|48.3%|17-39|43.6%|24-30|80.0%|8|46|29|21|4|11|4|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |New Orleans Pelicans|**30** Nickeil Alexander-Walker|**13** Naji Marshall|**4** Nickeil Alexander-Walker| |Golden State Warriors|**38** Jordan Poole|**9** Juan Toscano-Anderson|**9** Juan Toscano-Anderson|
I genuinely think Naji Marshall is going to be better than Josh Hart by the end of next year so I’m totally fine with us letting Hart walk away
"PG: Sexton or Lonzo, Kira  SG: NAW, Korkmaz, Didi Louzada  SF: BI, Naji Marshall, Bullock in free agency or Prince in a trade with CLE  PF: Zion, James Johnson, Wenyen Gabriel  C: Adams, Jax   Spots 14 and 15: prob 2 of our 4 second round picks   1. I’ve really been digging the Sexton trade talk. A young guard who plays passionately and scores with great efficiency and actively gives a shit on defense; I’ll take that all day every day. I’d do Bledsoe, 10 and whatever else Cleveland wants that’s not the young core.   2. I’m ready for Nickeil as a full time starter. Between his 15-20 starts last year and where he looked legit great next to Zion and BI (better than ANY other guard on our roster) along with his play in the FIBA Qualifiers for Canada.   3. I’m looking forward to Willie Green turning Zion and BI into a dynamic duo together rather than a dynamic duo apart (if that makes sense; I think Pels fans can speak to that) + raising defensive intensity   4. Need James Johnson back, he was solid for us and gave us great minutes after the deadline  5. Adams and Jax will be a top 5 Center rotation in the league next season, bet on it.   6. If we re-sign Lonzo, I’m cool with it too. I truly don’t see him getting the contract everyone’s been talking him up for. I also think Lonzo and Sexton could play together, but that’s expensive for at least one season before Sexton hits RFA."
So glad we got James Johnson and Naji Marshall for jj redick and this guy
"Kira Lewis Jr. earned minutes as the season progressed. Used his speed solidly throughout the season and I thought he played his best next to Nickeil, Zion (duh), and Jax. He almost looks like a vet out there with the composure he showed. I’d like to see improvement shooting the ball and using his speed to turn the corner more on defenders and be more aggressive when attacking the basket.  Naji Marshall is probably the reason Josh Hart won’t be returning to the Pels. This guy literally “just plays hard as fuck.” He’s the best on ball defender on our team and makes winning plays.   Lastly, Didi came over late from the NBL, but he showed signs of being a pesky defender. One of his first assignments was Luka Doncic, and he frustrated Luka a bit. Offense is a work in progress."
"&gt;	Presumably, the Pelicans would understand that you have to give to get, and as such would have Brandon Ingram available as a potential centerpiece for the Blazers, along with another legit young player. New Orleans has a couple that fit the bill — perhaps a Naji Marshall or a Kira Lewis.  Who would you guys prefer? Simmons or Ingram"
Naji Marshall snubbed
Naji Marshall
Naji Marshall with the Draymond statline.
Naji Marshall is my favorite player.   I like it when he shoots. I like it when he rebounds.  He is cool.
"Ah, better than Bledsoe I guess. Adams also wasn't great defensively, but that may have been due to injuries and the aforementioned issue of always being left 2 on 1. Is say the teams best defenders by the end of last season were Jaxon Hayes and Naji Marshall.  Maybe he does start being more physical now, it would open up a lot of his game. But I'm skeptical to say the least. I certainly wouldn't pay him under the assumption that he will with no signs of it showing as of yet in his career."
Naji Marshall signed for the minimum with a team option this summer and I’d maybe rather have him than Hart
"Hart, Naji Marshall, and now Herb Jones. We are about to have the hardest hustling team in the NBA. We may win some games just because we collapsed the other teams’ lungs."
"Can't watch the game right now, I hope Naji Marshall does well."
"Naji Marshall leads the pelicans to a chip averaging 100 points 20 assists 20 rebounds 20 blocks and 20 turnovers, the first ever penta-double."
"Not one mention of Naji Marshall, Tre Jones, or Aaron Nesmith in the article. All 3 have been absolutely amazing so far."
If there is no Naji Marshall I send it back
Naji Marshall and Josh Hart have proven to be better defenders IMO
"To be honest, I'd start Naji Marshall for defense and bring Devonte' off the bench as a sixth-man scorer.  But if he ends up as the Pels' top offseason acquisition, they'll probably want him to start."
my boy Naji Marshall
WHERE'S MY BOY NAJI MARSHALL
"The Great:   -The Davis trade after a really ugly second half to the 18-19 season and basically dealing with NOLA vs the world   -Helping shape a development staff with Gentry to help BI and Zo blossom.   -Naji Marshall UDFA —&gt; contract extension  -The Jrue trade; did right by Jrue and secured a bag of future picks and swaps. To all those people saying they won’t mean shit in five years: LMA and Bosh were all stars five years ago.   -Maxing BI    The good:   -Offloading Solomon Hill’s contract and signing JJ Redick   -Trading second round picks for Derrick Favors at the time   -With Trajan and Swin as well, seems to hit the draft pretty well. Jax, despite recent news (let’s also not mail in the rest of his life for this shit either), Nickeil, Kira, and Naji have all shown signs of a whole bunch of promise and legit talent. Jax was fantastic the second half of last season. Pels probably make the play in if Nickeil starts over Bledsoe. Naji was a fuckin Diamond in the rough.   -Willing to not let open wounds fester and immediately identifies and fixes own mistakes; something a deadbeat VP would not do.   -trading Redick and Melli for James Johnson, Wes Iwundu and a second rounder. Redick and Melli became unplayable and we saved some money for this offseason by offing Melli.       The bad:  -Choosing Melli and Jah over C Wood. Granted there was definitely some behind the scenes stuff with Wood’s attitude, but man Wood would have killed it with Zion.   -SVG  -Way too many guards on the 2019-2020 roster.   -Not enough shooters and defense on this last seasons team.  -Not extending Josh Hart BEFORE last year (this is more TBD/me nitpicking)    The Ugly:   Being the VP of a team who’s best player’s step father is already wanting his son off the team."
"If the Pelicans only got rid of Eric Bledsoe they'd win this easily. They also made a much needed upgrade at center with Jonas Valanciunas over Steven Adams. Have 6 different young players who will show growth in Zion, BI, Jaxson Hayes, NAW, Kira, and Naji Marshall and drafted players who can play d and showed out in summer league Trey Murphy (all summer league) and Herb Jones. Also Murphy looks like a sniper which is much needed."
find you someone that hypes your every move like naji marshall does BI and you’re set for life I promise
Pels fan would rave about how Griffin discovered undrafted gem Naji Marshall and finessed GSW with Alen Smailagic
KAT doesn't know who Naji marshall is? Confirmed casual
"This is one of the most hilarious comments I’ve ever seen.   People fucking ridicule Griff in our sub and there’s plenty of Lonzo love in there.   You say we don’t understand what we’re watching, but then go on to say Zo was our best defender last year. That’s absolute comedy. Naji was SIGNIFICANTLY better at defending than Lonzo was. But you probably haven’t watched the pelicans to even know who Naji Marshall is.   Keep our names out of your ignorant mouth."
"The defense mostly got better once bi and zion were injured and guys like naji marshall, naw and james johnson started games."
"&gt; NAW, Hayes, and Naji Marshall will take a big leap this year  It's hilarious to me how confident so many fans are that their young players will all significantly improve every year when it's way more likely they don't"
"Our team is a lot better now though. We added more scoring threats with Graham and rookie Trey Murphy III. NAW, Hayes, and Naji Marshall will take a big leap this year. Plus we have a coach players want to play hard for….not to mention Mike D’antoni as a offensive consultant. This whole squad will surprise the casuals."
Naji “only played during garbage time” Marshall
"It's definitely the right attitude, but Lonzo hasn't taken a ton of heaves: 11 in 4+ seasons.  Ingram and Steven Adams took more heaves on the Pelicans last year, and Lonzo took as many as Naji Marshall."
"the lineup numbers for the Pelicans starters have been incredible. Any time JV, Devonte, Josh Hart, and NAW have shared the court the Pelicans have been very good, their issues this season have come when they've had to play Kira Lewis Jr. and Naji Marshall real minutes."
I think it’s time we just say fuck it and let Naji Marshall run the Pelicans
Mikal’s performance is being overshadowed. He was tremendous and absolutely torturing Naji Marshall. Don’t think I’ve ever seen him go at someone like that.
Are Herb Jones and Naji Marshall always this good or is Phoenix just shitting the bed so bad that they look great for some reason?
"Naji Marshall makes some good plays. Seems like he knows how to move around on the court.  I was typing this comment right before he got that pick-6 dunk! That’s for proving me right, Naji!"
