Rick Mahorn (currently 62) and Sekou Doumbouya (turned 20 in December).
Uh oh. My Pistons drafted Sekou Doumbouya with hopes he would become the next Pascal Siakam!
"- OG is not playing well - Jared Culver playing better but league probably doesn't believe it - Markannen has been totally acceptable but he doesn't seem as threatning as before - Devonte Graham has been atrocious on my fantasy team, so many 0-5 games already - Sekou Doumbouya and Killian Hayes have not played well - Mo Bamba virtually has no stock right now - Malik Monk virtually no stock - Dennis Smith Jr has no stock - Westbrook better turn the W's around, about to destroy his rep permanently - Literally nobody believes in Wiggins now - honestly James Harden's trade stock is unbelievably low for what he is - Nobody would pay much for D'lo Russell rn - No prospect on the Bulls for that matter has much value, though all 'should' be good. Don't get that team."
"Based on what I've seen of Wood this year, it seems criminal he played fewer mpg than Griffin, Drummond, markeiff Morris last year, and pretty much the same minutes as Sekou Doumbouya. Hard to understand how he's the 4th or 5th option at the 4/5 positions there."
Sekou Doumbouya
"Just copy paste this  ||		 |:-:|		 |[](/DET) **96 -  105** [](/ORL)| |**Box Scores: [NBA](http://www.nba.com/games/20210222/DETORL#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/detroit-pistons-orlando-magic-2021022219)**|   || |:-:|											 |&amp;nbsp;|		 |**GAME SUMMARY**| |**Location:** Amway Center(4002), **Clock:** | |**Officials:** Curtis Blair, Karl Lane and Brett Nansel|  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |Detroit Pistons|26|22|28|20|96| |Orlando Magic|28|28|27|22|105|        ||		 |:-:|		 |&amp;nbsp;|		 |**TEAM STATS**|  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |Detroit Pistons|96|34-91|37.4%|11-40|27.5%|17-21|81.0%|9|49|23|21|10|11|4| |Orlando Magic|105|35-81|43.2%|9-30|30.0%|26-29|89.7%|5|51|24|18|7|11|8|  || |:-:| |&amp;nbsp;| |**PLAYER STATS**|  |||||||||||||||| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| **[](/DET) Detroit Pistons**|**MIN**|**PTS**|**FGM-A**|**3PM-A**|**FTM-A**|**ORB**|**DRB**|**REB**|**AST**|**STL**|**BLK**|**TO**|**PF**|**+/-**| |Saddiq Bey^SF|29:32|11|3-10|3-10|2-2|1|7|8|1|1|0|1|2|-5| |Jerami Grant^PF|34:33|24|8-16|2-6|6-6|0|5|5|4|0|0|2|4|-6| |Mason Plumlee^C|28:08|10|4-5|0-0|2-2|0|7|7|3|2|0|1|4|-10| |Wayne Ellington^SG|15:44|3|1-4|1-3|0-0|0|0|0|3|0|1|0|3|+1| |Dennis Smith Jr.^PG|15:25|6|2-6|2-4|0-0|0|0|0|2|2|0|4|2|-12| |Josh Jackson|32:16|17|7-23|0-6|3-4|4|6|10|2|0|0|1|1|-10| |Saben Lee|32:35|12|4-7|0-1|4-7|0|4|4|5|3|0|1|4|+3| |Isaiah Stewart|19:52|4|2-5|0-1|0-0|4|4|8|2|0|3|0|0|+1| |Sekou Doumbouya|16:26|3|1-6|1-4|0-0|0|5|5|0|1|0|0|1|-3| |Svi Mykhailiuk|15:29|6|2-9|2-5|0-0|0|2|2|1|1|0|1|0|-4| |Frank Jackson|0:00|0|0-0|0-0|0-0|0|0|0|0|0|0|0|0|0| |Rodney McGruder|0:00|0|0-0|0-0|0-0|0|0|0|0|0|0|0|0|0| |Deividas Sirvydis|0:00|0|0-0|0-0|0-0|0|0|0|0|0|0|0|0|0| **[](/ORL) Orlando Magic**|**MIN**|**PTS**|**FGM-A**|**3PM-A**|**FTM-A**|**ORB**|**DRB**|**REB**|**AST**|**STL**|**BLK**|**TO**|**PF**|**+/-**| |James Ennis III^SF|20:48|3|1-3|0-2|1-2|0|2|2|1|0|0|0|1|+3| |Al-Farouq Aminu^PF|18:57|3|1-4|0-2|1-1|1|5|6|2|4|2|0|1|+12| |Nikola Vucevic^C|36:11|37|14-27|2-6|7-7|0|12|12|3|1|2|1|2|+16| |Evan Fournier^SG|31:17|29|7-15|3-10|12-13|1|6|7|7|0|0|4|1|+20| |Michael Carter-Williams^PG|27:29|3|1-3|0-0|1-2|2|7|9|5|1|1|2|3|+17| |Chuma Okeke|24:39|2|1-3|0-1|0-0|0|3|3|2|1|0|0|2|-5| |Terrence Ross|31:36|17|7-16|3-5|0-0|0|4|4|3|0|0|2|1|+8| |Chasson Randle|20:31|4|1-1|0-0|2-2|0|3|3|0|0|0|1|4|-8| |Dwayne Bacon|16:43|7|2-7|1-4|2-2|0|3|3|0|0|0|1|2|-11| |Khem Birch|11:49|0|0-2|0-0|0-0|1|1|2|1|0|3|0|1|-7| |Mo Bamba|0:00|0|0-0|0-0|0-0|0|0|0|0|0|0|0|0|0| |Gary Clark|0:00|0|0-0|0-0|0-0|0|0|0|0|0|0|0|0|0|         || |:-:| |^[rnbapgtgenerator](https://f1uk3r.github.io/rnbapgtgenerator/) ^by ^/u/f1uk3r|"
Sekou Doumbouya ngl
"In my opinion, it's kinda a win-win for Detroit.   Not only are they significantly better without him on the floor, but his absence will create far greater opportunities for young players like Saddiq bey and Sekou Doumbouya. His presence on their roster has been suffocating for the development of the young talent."
"we have two young french dudes, Killian Hayes or Sekou Doumbouya?"
Saddiq Bey	  Mason Plumlee	  Isaiah Stewart	  Jerami Grant	  Josh Jackson  Sekou Doumbouya  Wayne Ellington	  Saben Lee    Frank Jackson     Dennis Smith Jr.
"I think it's a pretty sure thing that you're not getting Grant. If you're getting anything, its some combination of Delon Wright, Wayne Ellington, and or Sekou Doumbouya"
Sekou Doumbouya
"Sekou Doumbouya, the 18th youngest player in the NBA right now, is the longest tenured Piston."
  **Timberwolves @ Pistons**  [](/MIN) **119 -  100** [](/DET)  **Box Scores: [NBA](http://www.nba.com/games/20210511/MINDET#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/minnesota-timberwolves-detroit-pistons-2021051108)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |Minnesota Timberwolves|30|32|24|33|119| |Detroit Pistons|20|20|25|35|100|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |Minnesota Timberwolves|119|45-98|45.9%|14-48|29.2%|15-21|71.4%|11|44|30|22|16|15|8| |Detroit Pistons|100|35-75|46.7%|10-23|43.5%|20-26|76.9%|6|46|21|23|8|28|5|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |Minnesota Timberwolves|**28** Karl-Anthony Towns|**8** Jarred Vanderbilt|**10** D'Angelo Russell| |Detroit Pistons|**22** Saben Lee|**8** Sekou Doumbouya|**7** Killian Hayes|
"I posted this elsewhere here, but here are your lowest 20 per 36 Marvel Point accumulators (min 500 MP).   |Player|MHP per 36| :--|--:| |Wesley Matthews|8.5| |Rodney Hood|8.5| |Isaac Okoro|9.6| |Gary Clark|9.6| |Chasson Randle|9.7| |P.J. Tucker|9.9| |Solomon Hill|9.9| |Avery Bradley|10.0| |Sekou Doumbouya|10.1| |Gabe Vincent|10.1| |Maurice Harkless|10.3| |Mike Scott|10.7| |Gary Harris|10.9| |Semi Ojeleye|11.2| |Timothé Luwawu-Cabarrot|11.2| |Grant Williams|11.3| |Tyler Johnson|11.3| |Austin Rivers|11.5| |Ben McLemore|11.7| |Damyean Dotson|11.7|"
"yeah you're right I'd rather have two first round exits in the last decade and have to hope for Sekou Doumbouya to pop. Also wtf are you talking about, look at the DNPs for the Pistons tonight and tell me they're not positioning for the draft (as they should be)"
"I see his VORP as 0.7 which actually ranks him in the top 113 out of 524 total players.  Anthony Edwards ranks 519 out of 524 which is interesting. The only players below him are Sekou Doumbouya, Isaac Okoro, Dwayne Bacon, Rodney Hood, and Theo Maledon."
"For the Pistons: Killian Hayes, Josh Jackson, Saddiq Bey, Sekou Doumbouya and Isaiah Stewart"
"I could not listen to Nate Duncan anymore after every analysis of a bad or mediocre 2019 draft pick ended with some version of ""and they could've taken someone like a Sekou Doumbouya"" (4 PPG, 35% FG for those wondering how the take is aging at this exact moment)"
Sekou Doumbouya has star potential and Dwane Casey is the one holding him back.
"Some guys I was REALLY high on at recent Celtics draft positions:  -  * 2020, Pick #26: **Tyrell Terry** – got Payton Pritchard instead  * 2019, Pick #14: **Sekou Doumbouya or Goga Bitadze** – I'd still take either over Romeo Langford but none are really blowing up the league  * 2017, Pick #1: **Markelle Fultz** – got Jayson Tatum instead  * 2016, Pick #3: Take **Dragan Bender** or trade down and get **Jakob Poeltl** – got Jaylen Brown instead  * 2014, Pick #6: I thought **Noah Vonleh** was the new Chris Bosh – got Marcus Smart instead"
Didn’t want to steal the Finals MVP from Sekou Doumbouya.
"After adjusting LeBron James' stats, removing outliers to project the future, he heavily regresses to around the level of  2020 Sekou Doumbouya."
"Wrong on:  * Anthony Edwards. I thought he was a really good prospect, but the shot making he showed in the second half of the season was really impressive and ahead of schedule IMO. * Sekou Doumbouya. He's still a very young prospect, but after two years he hasn't improved as much as I would have hoped. I thought he had super high potential coming out of the draft but so far he hasn't shown much.  * Grant Williams. I wasn't as high on him as some other draft people were, but I didn't expect to just be flat out terrible.  Right on:  * Jarrett Culver. Great college player but I never understood why he was such a high pick. He's an inefficient jump shooter and he's not athletic/explosive enough to be a great finisher. His offensive strengths (passing/ball handling) aren't very valuable unless his scoring is good enough to be an on-ball threat. By all accounts, he sounds like a great dude and hard worker so I do hope he proves me wrong in year three though. * James Wiseman. He looked really raw which I expected. I still think he has high potential moving forward, but I was not surprised that he was a net negative as a rookie. This one is a major TBD though because he could make huge leaps moving forward. * Desmond Bane. I'm a biased Grizzlies fan, but Bane has been really damn good this season. He's older so his potential is lower than most picks, but I wouldn't be surprised if he's someone who averages like 19/4/4 in his prime."
**Pistons** (no order)  Killian Hayes  Saddiq Bey  Jerami Grant  Beef Stew  Sekou Doumbouya
My all-time favorite player (Mark Price) is three degrees from my current favorite (Sekou Doumbouya): Tyrone Corbin to Kurt Thomas to Derrick Rose.  Pretty cool.
"- MVP: Stanley Johnson  - ROY: Theo Maledon  - DPOY: Lou Williams  - MIP: Timothe Luwawu-Cabarrot  - 6MOY: Sekou Doumbouya  - COY: Mark Daigneault (according to Charles Barkley ""Who?"")"
It’s Sekou Doumbouya dunking on Tristan Thompson
Some other \#15 picks in recent years:  2014 Adreian Payne  2015 Kelly Oubre Jr.  2016 Juan Hernangómez  2017 Justin Jackson  2018 Troy Brown Jr.  2019 Sekou Doumbouya  2020 Cole Anthony  I knew very little about any of these guys before they were drafted. The one guy who I had seen some of was Justin Jackson because of the ncaa championship.
"Rodney Hood, Sekou Doumbouya, Chasson Randle, and Aleksej Pokusevski all ranked worse in BPM in more minutes and about a fifth of the league ranked worse than him in RPM (without considering minutes cutoffs etc).   I'm biased because I love the guy but that's not the worst player in the league. He was bad (as a lot of rookies are, even those who go #2 overall) but will definitely improve"
No one believes in Sekou Doumbouya?
2020 pistons to 2021 pistons. We've kept 1 player from last year (Sekou Doumbouya). Everyone else is new
"He’s a project pick, you’ll need to give him at least 2-3 years until he’s a legit NBA starter. Reminds me of Sekou Doumbouya. His body is NBA ready but he needs a lot of work on his basketball skills"
"As a Pistons fan I finally have players that I want to keep around lol. As many suggested before, I would probably move the number down to 6 simply because so many teams don’t have 8 great players to keep around.  (2020-2021 roster) 1. Killian Hayes 2. Isaiah Stewart  3. Saddiq Bey 4. Mason Plumlee  5. Jerami Grant 6. Hamidou Diallo 7.  Sekou Doumbouya 8. Saben Lee  Obviously 1-6 isn’t in really any order, but keeping the starters and all one of the better bench players we’d be fine. Sekou would probably be taken due to potential, but it’d also depend on who else is taken. I don’t believe Saben Lee would be taken due to being a solid rookie but not great enough to warrant being picked."
"I mean, Pistons potential roster in 2-3 years:  G/W Killian Hayes  G/W Cade Cunningham  W/F Jerami Grant  W/F Saddiq Bey  F/C Isaiah Stewart   Bench:  G/W Hamidou Diallo  G Saben Lee  W/F Deividas Sirvydis  W/F Sekou Doumbouya   Plus any other draft picks or FA signings. I like that roster, tbh"
"Cade Cunningham, Killian Hayes, Saddiq Bey, Jerami Grant, Mason Plumlee  Corey Joseph, Josh Jackson, Hami Diallo, Sekou Doumbouya, Isaiah Stewart  Is this likely what you guys will look like? Or do you think a few players might be moved? Ala Plumlee and Joseph."
Sekou Doumbouya
"Mirotic's contract with Barcelona was for 6 years and $79 million and he signed it before Covid. Covid is why he took such a big paycut the following year. Not disagreeing with the rest of your points, but I'd still like to know about which exact players somebody's talking about when they're supposedly better than some NBA players. I think the figure is 90-95%, and not necessarily higher than 95%.  I have trouble believing that Mo Bamba would have a good career with Real Madrid, or that James Wiseman would be a whole lot better with Fenerbahce. Here's a short list of Eastern Conference players currently with contracts for 2021-22 who I don't think should be in the NBA:  1. Udonis Haslem  2. Devin Cannady (Magic)  3. Mo Bamba  4. Cassius Winston (Wizards)  5. Nick Richards (Hornets)  6. Sam Merrill (Bucks)  7. Kelan Martin (Pacers)  8. Sekou Doumbouya  9. Cory Joseph  10. Kevin Knox  11. Jabari Parker  12. Paul Reed (Sixers)  13. Sam Dekker  I'm sure there's a few more in there."
"Nice, here's a table with the top three category leaders.  |**Player**|**PPG**| |:--|--:| |Cam Thomas|27.0| |Tyrese Maxey|26.0| |Desmond Bane|24.0|  |**Player**|**REB**| |:--|--:| |Jalen Smith|12.5| |Paul Reed|12.0| |John Konchar|12.0|  |**Player**|**AST**| |:--|--:| |Payton Pritchard|8.5| |Immanuel Quickley|7.8| |Sharife Cooper|7.3|  |**Player**|**BLK**| |:--|--:| |Daniel Oturu|3.3| |Alperen Sengun|3.0| |Sekou Doumbouya|3.0|  |**Player**|**STL**| |:--|--:| |Tremont Waters|3.5| |Jordan Goodwin|3.3| |Louis King|3.2|"
Sekou Doumbouya
Sekou Doumbouya
"Sekou Doumbouya is still only 20, and I believe he will figure it out because he is too much of a physical beast to not have an impact in the future. His BBIQ is still too bad but he can turn into a decent, shawn marion type of player"
Sekou doumbouya
"Frank Ntilikina, Sekou Doumbouya, and soon Killian Hayes. So many questionable picks from France"
"I mean, let's pump the brakes a little bit - Sengun went against defensive juggernauts Sekou Doumbouya and Luka Garza last night, after besting the terrible twosome of Banks and Kabengele on Sunday.  Granted, he has looked very good. But let's wait and see how it plays out in the regular season with guys that are actually pro-ready centers."
"Theo Maledon, Killian Hayes, Sekou Doumbouya, Victor Wembanyama, Rudy Gobert."
The real french connection is Yabusele and Sekou Doumbouya touching cheeks
"Nope Detroit has 7   Cade Cunningham, Saddiq Bey, Killian Hayes, Jerami Grant, Sekou Doumbouya, Saben Lee, and Isaiah Stewart."
Sekou Doumbouya averaged 20 ppg at 19 years old in the g league too. Whats your point? (Obviously Green will be better than Sekou im just saying that line of reasoning seems kinds faulty).
"With one pick to come, here's how Detroit's young roster now looks:  **PG:** Cade Cunningham, Killian Hayes, Saben Lee.   **SG:** Hami Diallo, Josh Jackson.  **SF:** Saddiq Bey.  **PF:** (Jerami Grant), Sekou Doumbouya.  **C:** Isaiah Stewart."
Andre Drummond and Blake Griffin were more important than Kennard a year ago. And if you’re talking about the best prospect than Sekou Doumbouya and Bruce Brown were better assets I’d say.
"* Prestige of being a #1 pick.  * Solid young talent with no pressure to win immediately.  * #1 pick will make $4.5M more than the #2 pick over the course of the rookie contract.  I'd rather grow next to Killian Hayes, Saddiq Bey, Isaiah Stewart, Sekou Doumbouya, Jerami Grant (and lots of cap flexibility) than wait out the John Wall/Eric Gordon cap-space-blackhole backcourt in Houston."
"Looks like I can't edit the post because it's past 40000 characters, so here's the Detroit team  \*\*point guard\*\*|\*\*shooting guard\*\*|\*\*small forward\*\*|\*\*power forward\*\*|\*\*center\*\*   :--|:--|:--|:--|:--   monte morris|devin booker|miles bridges|draymond green|javale mcgee   \*killian hayes\*|bryn forbes|josh jackson|kyle kuzma|xavier tillman sr.   edmond sumner|\*sviatoslav mykhailiuk\*|jae'sean tate|\*sekou doumbouya\*|\*aron baynes\*   mychal mulder|dakota mathias|denzel valentine| |    cassius winston|\*deividas sirvydis\*|brian bowen| | "
"Yeah but a lot of guys put up high scoring numbers in the g league, Sekou Doumbouya's g league stats are very similar to Jalen Green's, and Doumbouya averaged 5 ppg. Obviously Green is better than Sekou, but 24 just doesnt seem likely, at least not on great effiency."
Frank Ntilikina / Dennis Smith Jr / Kevin Knox / Sekou Doumbouya / Harry Giles
"Patty Mills, Paul Millsap, Lamarcus Aldridge, James Johnson, Javon carter, D’andre bembry, Sekou Doumbouya, Cam Thomas, Day’ron sharpe, Kessler edwards is a massive upgrade on Jeff Green, Landry Shamet, Mike James, Tyler Johnson, Alize Johnson, Luwawu-caberet, Reggie Perry"
"Sekou Doumbouya looks like a big mess. A great talent but a deplorable mental state. Not a huge worker either.  In short, he won't last long in the NBA.  The saddest thing here is that these behaviors were already visible in France when he played in Poitiers in the second division or in Limoges in the first division.  He was capable of great performances but had no consistency. One game he would score 20 points and the next he would finish with 2 points having been absent the whole game.   That's an unforgiving problem in the NBA."
Maybe Sekou Doumbouya isn’t even his real name. In a twist of irony he’s real age is 23 and his real name is Fausto Carmona
"But they say Thon Maker, Serge Ibaka, Sekou Doumbouya, Bismack Biyombo are. I wonder why."
"And an extra roster spot. As dumb as it is to say, Doumbouya didn't really fit with Detroit anymoe despite the fact he was drafted only 2 years ago.   I was extremely disappointed in just about everything having to do with Sekou anyway, so it's whatever to me."
"Nets Big Man Depth:  KD  Griffin  Claxton  Aldridge  Millsap  Bruce Brown (he’s used as a PG/C)  James Johnson  Sekou Doumbouya  De’Andre Bembry  Jahlil Okafor  Day’Ron Sharpe  That’s arguably 6 starting caliber bigs and 8 overall rotational bigs on the roster (Sekou, Bembry, Sharpe, and Okafor combine to be 1 rotational big). Sounds pretty good to me."
"It’s unfair the Nets traded one nasty poster dunker putting his balls in dude’s faces, for another in [Sekou Doumbouya](https://youtu.be/HS78dffWoVI)"
"Nets prolly have no frps, 4 second rounders and we get a free roster spot.  For Sekou Doumbouya a guy we gave minutes (20 mpg his rookie season, 12 mpg his 2nd year) but still doesn't show out. We already have a bigger project in Killian we don't need Sekou who will be struggling to find minutes"
Not for Sekou Doumbouya bro
"Sekou ""Ben Simmons"" Doumbouya"
"&gt;Why is having a “lack of intensity” the same as being lazy?   Here's more from the same media session about effort:  &gt;""The intensity, the effort has got to come from our young guys, and he’s one of our young guys. He’s getting the opportunity... you’re gonna make mistakes in this league as a young player, but lack of intensity shouldn’t be one of them and lack of passion. Take advantage of the opportunity cause it’s fleeting""  https://www.detroitbadboys.com/2020/2/12/21134374/sekou-doumbouya-has-hit-the-rookie-wall-hard"
Sekou Doumbouya breakout season incoming in the next two seasons.
&gt; I thought Detroit was high on Doumbouya  We were also high on Luke and Bruce :(. Weaver just isn't interested in trying to build with anyone else's pieces. He gave Sekou a year to earn a long term spot and he just really didn't show out so here we are
"Especially the team affiliation of DeAndre Jordan, Jahlil Okafor, and Sekou Doumbouya."
A 2nd rounder could be anything! Even Sekou Doumbouya!
Yeah for **Sekou Doumbouya**
I have never heard of Sekou Doumbouya
"OP with 4 absolutely terrible posts now in 2 days  &gt;Can Killian Hayes be useful?  ...he's 20  &gt;Eric Bledsoe is still really good  Enough said  &gt;Will Sekou Doumbouya be waived by the end of the season?&gt;He made no progress from year 1 to 2 and still remained one of the worst players in the league, is it over for him?  Is it over for a 20 year old?    &gt;How many people actually call Ron Artest ""Metta World Peace""? &gt;I don't see anybody actually calling him that, I always went with Ron Artest, it's well established and rolls off the tongue well.    The reason that is a stupid post is Ron Artest's name is Ron Sandiford-Artest and he hasn't been Metta in years"
"Regarding Sekou Doumbouya, it may not last much longer, as the Pistons may have the will to get rid of him.  The potential is there, but the mentality of the player is clearly deplorable."
Sekou Doumbouya    Ben Simmons    LeBron James
Dr. Doom for Sekou Doumbouya is pretty good.
Why would they dump Sekou Doumbouya? It's way too soon.
&gt; Sekou Doumbouya  6'8 with 7 foot wingspan you say? masai is alredy calling
"Other possible discussions:  “What if we started Dwight, DJ, AD, LeBron, and Sekou Doumbouya?”  “It would probably be bad.”  “Yeah, I guess.”"
Sekou Doumbouya will get plenty of opportunities due to load management of that ancient roster.
"Sort of weird to sign Sekou Doumbouya, who was basically discarded by the Pistons, Nets, and Rockets, only to waive Joel."
